episode,global_step,epsilon,scalar_return,loss,mse,ssim,k,paid_k,total_k,cost,actions
1,2,0.9993666666666666,0.137034073472023,,0.0023083724081516266,0.7861368604387543,1,1,2,0.0,8 10
2,7,0.9977833333333334,0.276503324508667,,0.0006546202348545194,0.937862343988719,4,4,5,0.0,3 4 5 6 10
3,11,0.9965166666666667,0.12872976064682007,,0.000932103197555989,0.9016849774597091,3,3,4,0.0,8 5 9 10
4,19,0.9939833333333333,-0.07930268347263336,,0.0006708232685923576,0.9196443980854275,7,7,8,0.0,2 6 4 7 5 1 9 10
5,28,0.9911333333333333,0.41310742497444153,,0.0011937771923840046,0.8950873853796019,8,8,9,0.0,2 4 1 6 8 9 7 5 10
6,34,0.9892333333333333,0.3607959449291229,,0.0010808901861310005,0.8882790906853114,5,5,6,0.0,9 3 7 5 6 10
7,39,0.98765,0.0077202171087265015,,0.0006354168290272355,0.9272069807178768,4,4,5,0.0,9 2 5 1 10
8,41,0.9870166666666667,0.03811022639274597,,0.0010862683411687613,0.8596572304370411,1,1,2,0.0,9 10
9,47,0.9851166666666666,0.34795984625816345,,0.0012354075442999601,0.9027781299936644,5,5,6,0.0,1 5 9 7 6 10
10,54,0.9829,0.4201754033565521,,0.0008892850019037724,0.9268280611983661,6,6,7,0.0,2 9 5 6 8 4 10
11,63,0.98005,-0.06526971608400345,,0.0003671367885544896,0.9627649622319286,8,8,9,0.0,7 8 3 1 2 5 9 4 10
12,71,0.9775166666666667,0.1128564327955246,,0.001876977039501071,0.8640479710967447,7,7,8,0.0,3 5 8 6 7 2 9 10
13,76,0.9759333333333333,0.32469576597213745,,0.002323491033166647,0.859628489207782,4,4,5,0.0,6 9 2 3 10
14,85,0.9730833333333333,-0.11572947353124619,,0.0004093338211532682,0.951820621344479,9,9,10,0.0,8 2 5 7 4 9 6 3 1
15,88,0.9721333333333333,0.4098464846611023,,0.0018606055527925491,0.8786344346451915,2,2,3,0.0,5 3 10
16,93,0.97055,0.11922511458396912,,0.0028391657397150993,0.8237174460941241,4,4,5,0.0,6 2 9 4 10
17,98,0.9689666666666666,0.14173008501529694,,0.0006569054676219821,0.9461071237691375,4,4,5,0.0,6 1 4 2 10
18,100,0.9683333333333334,0.13972178101539612,,0.0020984108559787273,0.7876977970661412,1,1,2,0.0,3 10
19,104,0.9670666666666666,0.4864680767059326,,0.0005225853528827429,0.9122509674637553,3,3,4,0.0,2 8 4 10
20,106,0.9664333333333334,0.2247912883758545,,0.0023869210854172707,0.8251576587451482,1,1,2,0.0,8 10
21,108,0.9658,0.07571043074131012,,0.001282236771658063,0.8748985216039257,1,1,2,0.0,3 10
22,109,0.9654833333333334,0.0,,0.002152722794562578,0.7677761323276052,0,0,1,0.0,10
23,113,0.9642166666666667,0.07392328977584839,,0.0007304259343072772,0.9236502722525852,3,3,4,0.0,7 5 8 10
24,122,0.9613666666666667,0.15055914223194122,,0.0007560801459476352,0.9140477922792667,8,8,9,0.0,9 8 3 4 5 1 2 7 10
25,128,0.9594666666666667,-0.009706273674964905,0.013539575040340424,0.0005363532109186053,0.9387089015825183,5,5,6,0.0,5 4 1 2 6 10
26,133,0.9578833333333333,0.28772851824760437,0.01225849986076355,0.0013773287646472454,0.8835280305404475,4,4,5,0.0,8 6 4 1 10
27,141,0.95535,0.11021837592124939,0.00723879603901878,0.001317228889092803,0.8726478707528142,7,7,8,0.0,5 2 7 6 8 1 9 10
28,150,0.9525,0.035561636090278625,0.004800211896912919,0.00034341984428465366,0.9514565606923789,8,8,9,0.0,3 4 7 9 6 1 5 8 10
29,159,0.94965,0.48968085646629333,0.0028751681093126535,0.0012561776675283909,0.9210129848168664,9,9,10,0.0,2 8 7 1 3 9 6 4 5
30,162,0.9487,0.3742262125015259,0.0027664063964039087,0.0016878684982657433,0.8941895067868987,2,2,3,0.0,4 8 10
31,168,0.9468,0.4852610230445862,0.0025871758116409183,0.0015348203014582396,0.9009504586316459,5,5,6,0.0,1 3 2 8 5 10
