k,mse_mean,mse_std,ssim_mean,ssim_std
1,0.004648894694643483,0.0030868296591957996,0.7134917024325856,0.1484251613425838
3,0.002825874021194371,0.002009493078947368,0.8295730509584901,0.09418554668344307
5,0.002283377692947397,0.0016771801398304295,0.8592147669370658,0.07682723851342113
10,0.0012532102549206077,0.0011611341240355102,0.9178382010471149,0.05135969012392554
