method,n_solutions,mse_mean,mse_std,ssim_mean,ssim_std,k_mean,k_std,cost_mean,cost_std,obj_mse_mean,obj_ssim_mean,obj_cost_mean,obj_k_mean,hv_4d,hv_2d_quality_parsimony
energy,18,0.002289763368025838,0.0033002245861035433,0.933796957326241,0.07327900070732354,3.5,1.7573375583870183,0.5833333358168602,0.29288958832601725,0.9977102366319741,0.933796957326241,0.4166666641831398,0.4166666666666667,0.664,0.8075604594773678
greedy,18,0.002022707688512188,0.0030235914807491904,0.9407853703458476,0.06749738860733677,3.5,1.7573375583870183,0.5833333358168602,0.29288958832601725,0.9979772923114878,0.9407853703458476,0.4166666641831398,0.4166666666666667,0.6646,0.8086956165054964
random,54,0.050422118396926154,0.06928087414318795,0.6303129480635079,0.4182554534721558,3.5,1.7238613961706863,0.5833333358168602,0.2873102280468937,0.9495778816030738,0.6303129480635079,0.4166666641831398,0.4166666666666667,0.6572,0.8026519642529286
top_1,3,0.004914412255554067,0.006228002101241113,0.8354354857575493,0.11089542986400695,1.0,0.0,0.1666666716337204,0.0,0.9950855877444459,0.8354354857575493,0.8333333283662796,0.8333333333333334,0.6396,0.769241646968225
top_2,3,0.0034339218788469335,0.004572585660151825,0.906012911680182,0.08888595572653253,2.0,0.0,0.3333333432674408,0.0,0.996566078121153,0.906012911680182,0.6666666567325592,0.6666666666666666,0.4222,0.6448758987515166
top_3,3,0.0019985791004728,0.002630455328368409,0.9496079074031503,0.03934220192599976,3.0,0.0,0.5,0.0,0.9980014208995271,0.9496079074031503,0.5,0.5,0.2372,0.4898933297871838
top_5,3,0.0010800565651151665,0.0014512804471800659,0.9722395151618434,0.02131337342850848,5.0,0.0,0.8333333134651184,0.0,0.9989199434348848,0.9722395151618434,0.1666666865348816,0.1666666666666666,0.0274,0.16501874385559573
top_6,3,0.0009171466857272283,0.0011870986472506133,0.9768752212355123,0.017747042211306643,6.0,0.0,1.0,0.0,0.9990828533142727,0.9768752212355123,0.0,0.0,0.0,0.0
