method,image_id,repeat,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,preference_id,preference_name,preference,actions,is_pareto_global,is_pareto_by_method
random,6,4.0,9,9,10,9,1.0,1.0,1.0,0.0003065512573812,0.9707384161943488,0.9658649917084547,0.9996934487426188,0.9707384161943488,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,5.0,9,9,10,9,1.0,1.0,1.0,0.0003065512573812,0.9707384161943488,0.9658649917084547,0.9996934487426188,0.9707384161943488,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,6.0,9,9,10,9,1.0,1.0,1.0,0.0003065512573812,0.9707384161943488,0.9658649917084547,0.9996934487426188,0.9707384161943488,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,7.0,9,9,10,9,1.0,1.0,1.0,0.0003065512573812,0.9707384161943488,0.9658649917084547,0.9996934487426188,0.9707384161943488,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,8.0,9,9,10,9,1.0,1.0,1.0,0.0003065512573812,0.9707384161943488,0.9658649917084547,0.9996934487426188,0.9707384161943488,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,9.0,9,9,10,9,1.0,1.0,1.0,0.0003065512573812,0.9707384161943488,0.9658649917084547,0.9996934487426188,0.9707384161943488,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,10.0,9,9,10,9,1.0,1.0,1.0,0.0003065512573812,0.9707384161943488,0.9658649917084547,0.9996934487426188,0.9707384161943488,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,11.0,9,9,10,9,1.0,1.0,1.0,0.0003065512573812,0.9707384161943488,0.9658649917084547,0.9996934487426188,0.9707384161943488,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,12.0,9,9,10,9,1.0,1.0,1.0,0.0003065512573812,0.9707384161943488,0.9658649917084547,0.9996934487426188,0.9707384161943488,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,13.0,9,9,10,9,1.0,1.0,1.0,0.0003065512573812,0.9707384161943488,0.9658649917084547,0.9996934487426188,0.9707384161943488,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,14.0,9,9,10,9,1.0,1.0,1.0,0.0003065512573812,0.9707384161943488,0.9658649917084547,0.9996934487426188,0.9707384161943488,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,15.0,9,9,10,9,1.0,1.0,1.0,0.0003065512573812,0.9707384161943488,0.9658649917084547,0.9996934487426188,0.9707384161943488,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,16.0,9,9,10,9,1.0,1.0,1.0,0.0003065512573812,0.9707384161943488,0.9658649917084547,0.9996934487426188,0.9707384161943488,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,17.0,9,9,10,9,1.0,1.0,1.0,0.0003065512573812,0.9707384161943488,0.9658649917084547,0.9996934487426188,0.9707384161943488,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,18.0,9,9,10,9,1.0,1.0,1.0,0.0003065512573812,0.9707384161943488,0.9658649917084547,0.9996934487426188,0.9707384161943488,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,19.0,9,9,10,9,1.0,1.0,1.0,0.0003065512573812,0.9707384161943488,0.9658649917084547,0.9996934487426188,0.9707384161943488,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
top-k energy,4,,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0011651372769847,0.8902992299546385,0.8392450677876284,0.9988348627230152,0.8902992299546385,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,,,,False,True
top-k energy,6,,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0012225498212501,0.8973035363881328,0.8344808177594637,0.99877745017875,0.8973035363881328,0.8888888888888888,0.8888888888888888,0 9,H00 H30,9,H30,,,,,False,True
top-k energy,6,,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0008213341352529,0.9235720160183598,0.8716070945876724,0.999178665864747,0.9235720160183598,0.7777777777777778,0.7777777777777778,0 2 9,H00 H10 H30,2 9,H10 H30,,,,,False,True
top-k energy,6,,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0008211910026147,0.9237320207493483,0.8717692279943152,0.9991788089973852,0.9237320207493483,0.6666666666666667,0.6666666666666667,0 2 7 9,H00 H10 H12 H30,2 7 9,H10 H12 H30,,,,,False,True
top-k energy,6,,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0007525105029344,0.93533929184026,0.8801950876533513,0.9992474894970657,0.93533929184026,0.5555555555555556,0.5555555555555556,0 2 6 7 9,H00 H10 H03 H12 H30,2 6 7 9,H10 H03 H12 H30,,,,,False,True
top-k energy,6,,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0006704991101287,0.9450366793025404,0.8904463995955277,0.9993295008898712,0.9450366793025404,0.4444444444444444,0.4444444444444444,0 1 2 6 7 9,H00 H01 H10 H03 H12 H30,1 2 6 7 9,H01 H10 H03 H12 H30,,,,,False,True
