preference_name,method,k_effective_mean,mse_mean,mse_std,ssim_mean,ssim_std,edge_corr_mean,edge_corr_std,cost_mean,cost_std
compact,Envelope-DQN,0.0,0.003782667266204953,0.0012569932454218854,0.7526762089884951,0.06464294835776309,0.7043832178039838,0.048633526196917756,0.0,0.0
compact,greedy,0.0,0.003782667266204953,0.0012569932454218854,0.7526762089884951,0.06464294835776309,0.7043832178039838,0.048633526196917756,0.0,0.0
compact,random,0.0,0.003782667266204953,0.0012569932454218854,0.7526762089884951,0.06464294835776309,0.7043832178039838,0.048633526196917756,0.0,0.0
compact,top-k energy,0.0,0.003782667266204953,0.0012569932454218854,0.7526762089884951,0.06464294835776309,0.7043832178039838,0.048633526196917756,0.0,0.0
general_balance,Envelope-DQN,0.0,0.003782667266204953,0.0012569932454218854,0.7526762089884951,0.06464294835776309,0.7043832178039838,0.048633526196917756,0.0,0.0
general_balance,greedy,0.0,0.003782667266204953,0.0012569932454218854,0.7526762089884951,0.06464294835776309,0.7043832178039838,0.048633526196917756,0.0,0.0
general_balance,random,0.0,0.003782667266204953,0.0012569932454218854,0.7526762089884951,0.06464294835776309,0.7043832178039838,0.048633526196917756,0.0,0.0
general_balance,top-k energy,0.0,0.003782667266204953,0.0012569932454218854,0.7526762089884951,0.06464294835776309,0.7043832178039838,0.048633526196917756,0.0,0.0
high_fidelity,Envelope-DQN,1.0,0.0023095028242096304,0.0008190549971441366,0.8604090052312428,0.03189724253856018,0.8130741291911961,0.04267568154782361,0.11111111111111112,0.0
high_fidelity,greedy,1.0,0.002119850122835487,0.0007337938136863073,0.8628724148372957,0.0318809278222906,0.8271455891520544,0.03893141148053092,0.11111111111111112,0.0
high_fidelity,random,1.0,0.0024874427006579937,0.0008602218470640298,0.8415862665573959,0.04023580004407124,0.7936790479937804,0.04890545562985026,0.11111111111111112,0.0
high_fidelity,top-k energy,1.0,0.002264357777312398,0.0007562589750891976,0.8472090433553243,0.03546101999654379,0.7915543882234284,0.04507825965033195,0.11111111111111112,0.0
mse_ssim_balance,Envelope-DQN,1.0,0.0023095028242096304,0.0008190549971441366,0.8604090052312428,0.03189724253856018,0.8130741291911961,0.04267568154782361,0.11111111111111112,0.0
mse_ssim_balance,greedy,1.0,0.002119850122835487,0.0007337938136863073,0.8628724148372957,0.0318809278222906,0.8271455891520544,0.03893141148053092,0.11111111111111112,0.0
mse_ssim_balance,random,1.0,0.002581318956799805,0.0008531051214573369,0.8239362642873305,0.04513523280539163,0.7871170191702248,0.05271920256102717,0.11111111111111112,0.0
mse_ssim_balance,top-k energy,1.0,0.002264357777312398,0.0007562589750891976,0.8472090433553243,0.03546101999654379,0.7915543882234284,0.04507825965033195,0.11111111111111112,0.0
very_compact,Envelope-DQN,0.0,0.003782667266204953,0.0012569932454218854,0.7526762089884951,0.06464294835776309,0.7043832178039838,0.048633526196917756,0.0,0.0
very_compact,greedy,0.0,0.003782667266204953,0.0012569932454218854,0.7526762089884951,0.06464294835776309,0.7043832178039838,0.048633526196917756,0.0,0.0
very_compact,random,0.0,0.003782667266204953,0.0012569932454218854,0.7526762089884951,0.06464294835776309,0.7043832178039838,0.048633526196917756,0.0,0.0
very_compact,top-k energy,0.0,0.003782667266204953,0.0012569932454218854,0.7526762089884951,0.06464294835776309,0.7043832178039838,0.048633526196917756,0.0,0.0
