method,preference_id,preference_name,preference,mse_mean,mse_std,ssim_mean,ssim_std,edge_corr_mean,edge_corr_std,k_mean,k_effective_mean,cost_mean,cost_std,common_components
Envelope-DQN,0.0,high_fidelity,0.550 0.250 0.100 0.100,0.00230950282420957,0.0008190549971441275,0.8604090052312428,0.03189724253856016,0.8130741291911961,0.04267568154782361,1.0,1.0,0.11111111111111112,0.0,H00 H11
Envelope-DQN,1.0,mse_ssim_balance,0.350 0.350 0.150 0.150,0.00230950282420957,0.0008190549971441275,0.8604090052312428,0.03189724253856016,0.8130741291911961,0.04267568154782361,1.0,1.0,0.11111111111111112,0.0,H00 H11
Envelope-DQN,2.0,general_balance,0.250 0.250 0.250 0.250,0.00378266726620491,0.0012569932454219042,0.7526762089884951,0.06464294835776309,0.7043832178039838,0.048633526196917756,0.0,0.0,0.0,0.0,H00
Envelope-DQN,3.0,compact,0.200 0.200 0.300 0.300,0.00378266726620491,0.0012569932454219042,0.7526762089884951,0.06464294835776309,0.7043832178039838,0.048633526196917756,0.0,0.0,0.0,0.0,H00
Envelope-DQN,4.0,very_compact,0.150 0.150 0.350 0.350,0.00378266726620491,0.0012569932454219042,0.7526762089884951,0.06464294835776309,0.7043832178039838,0.048633526196917756,0.0,0.0,0.0,0.0,H00
