reconstruction_mode,method,mse_mean,mse_std,ssim_mean,ssim_std,edge_corr_mean,edge_corr_std,cost_mean,k_effective_mean
direct_sum,Envelope-DQN,0.00563353106379509,0.0026069235589143503,0.7868999057979096,0.05757851762078758,0.7402208945086365,0.06194410692298148,0.044444444444444446,0.4
direct_sum,greedy,0.0023786715057212858,0.0013419547053009394,0.8958711095969792,0.04505574622363649,0.8789457805733389,0.05838205507226666,0.3333333333333333,3.0
direct_sum,random,0.0037082320277113468,0.0018817595835171734,0.8657381211448687,0.04854380393004621,0.8498683357671679,0.06002947359113812,0.3333333333333333,3.0
direct_sum,top-k energy,0.00414058230817318,0.0017263457914668847,0.8578102894071135,0.034856036909706074,0.8366005077083986,0.04971433023733969,0.3333333333333333,3.0
least_squares,Envelope-DQN,0.003193401542957872,0.0012839571954360856,0.7957692339621453,0.07428775689757831,0.7478595900020377,0.06975282255927188,0.044444444444444446,0.4
least_squares,greedy,0.0012805626300784448,0.0007718254828266628,0.9123930875661835,0.042936921913596,0.8976942053112824,0.0569178165007997,0.3333333333333333,3.0
least_squares,random,0.0016772521454549861,0.0008564747044573768,0.8850496900171239,0.04872938163659637,0.8613160908200848,0.061261245313348735,0.3333333333333333,3.0
least_squares,top-k energy,0.0018973958950179318,0.0007116581557901863,0.8712817493857588,0.04012703924354588,0.8187955072687446,0.04365642069852873,0.3333333333333333,3.0
