step,action,action_label,event,reward_mse,reward_ssim,reward_cost,reward_k,mse,ssim,k,cost,selected_indices,selected_labels,terminated,truncated
0,7,H12,select_component,0.03146481513977051,0.029713094234466553,-0.10000000149011612,-0.10000000149011612,0.4249621033668518,0.02977801717032404,1,0.1,7,H12,False,False
1,5,H20,select_component,0.003820180892944336,0.005120465531945229,-0.10000000149011612,-0.10000000149011612,0.42114192247390747,0.034898482745723866,2,0.2,5 7,H20 H12,False,False
2,2,H10,select_component,0.0026993751525878906,0.0038241231814026833,-0.10000000149011612,-0.10000000894069672,0.4184425473213196,0.03872260591835387,3,0.3,2 5 7,H10 H20 H12,False,False
3,3,H02,select_component,0.0007652640342712402,0.0006646869005635381,-0.10000000149011612,-0.09999999403953552,0.41767728328704834,0.03938729283393651,4,0.4,2 3 5 7,H10 H02 H20 H12,False,False
4,0,H00,select_component,0.4157402813434601,0.8007394671440125,-0.10000000149011612,-0.09999999403953552,0.0019370121881365776,0.8401267623415883,5,0.5,0 2 3 5 7,H00 H10 H02 H20 H12,False,False
5,1,H01,select_component,0.00029643578454852104,0.02656238153576851,-0.10000000149011612,-0.10000002384185791,0.0016405764035880566,0.8666891443158868,6,0.6,0 1 2 3 5 7,H00 H01 H10 H02 H20 H12,False,False
6,4,H11,select_component,0.00019579485524445772,0.02201857604086399,-0.10000000149011612,-0.09999996423721313,0.0014447815483435988,0.8887077201507746,7,0.7,0 1 2 3 4 5 7,H00 H01 H10 H02 H11 H20 H12,False,False
7,6,H03,select_component,6.458477582782507e-05,0.004203437361866236,-0.10000000149011612,-0.10000002384185791,0.0013801967725157738,0.8929111573858437,8,0.8,0 1 2 3 4 5 6 7,H00 H01 H10 H02 H11 H20 H03 H12,False,False
8,10,STOP,stop,0.0,0.0,0.0,0.0,0.0013801967725157738,0.8929111573858437,8,0.8,0 1 2 3 4 5 6 7,H00 H01 H10 H02 H11 H20 H03 H12,True,False
