method,preference_id,preference_name,preference,image_id,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,actions
Envelope-DQN,0,high_fidelity,0.550 0.250 0.100 0.100,0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002371376845985651,0.8813673924304785,0.8416883437405163,0.9976286231540143,0.8813673924304785,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10
Envelope-DQN,0,high_fidelity,0.550 0.250 0.100 0.100,1,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0017911437898874283,0.8343429234140197,0.833620090254296,0.9982088562101126,0.8343429234140197,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10
Envelope-DQN,0,high_fidelity,0.550 0.250 0.100 0.100,2,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0025476706214249134,0.8589253919143739,0.7958325117695412,0.9974523293785751,0.8589253919143739,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10
Envelope-DQN,0,high_fidelity,0.550 0.250 0.100 0.100,3,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0018813423812389374,0.8687246041162012,0.8392101482801035,0.9981186576187611,0.8687246041162012,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10
Envelope-DQN,0,high_fidelity,0.550 0.250 0.100 0.100,4,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0011297360761091113,0.8922861439577889,0.8573227789290954,0.9988702639238909,0.8922861439577889,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10
Envelope-DQN,0,high_fidelity,0.550 0.250 0.100 0.100,5,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.003190188203006983,0.8615904497281691,0.7901250323390849,0.996809811796993,0.8615904497281691,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10
Envelope-DQN,0,high_fidelity,0.550 0.250 0.100 0.100,6,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0010648594470694661,0.9211688234064369,0.8749879742751393,0.9989351405529305,0.9211688234064369,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10
Envelope-DQN,0,high_fidelity,0.550 0.250 0.100 0.100,7,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0027376848738640547,0.8188216980639734,0.7892422736119004,0.997262315126136,0.8188216980639734,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10
Envelope-DQN,0,high_fidelity,0.550 0.250 0.100 0.100,8,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0029997266829013824,0.8394458494398314,0.7404250903290961,0.9970002733170986,0.8394458494398314,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10
Envelope-DQN,0,high_fidelity,0.550 0.250 0.100 0.100,9,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0033812997862696648,0.8274162941203673,0.7682870609344608,0.9966187002137303,0.8274162941203673,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10
Envelope-DQN,1,mse_ssim_balance,0.350 0.350 0.150 0.150,0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002371376845985651,0.8813673924304785,0.8416883437405163,0.9976286231540143,0.8813673924304785,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10
Envelope-DQN,1,mse_ssim_balance,0.350 0.350 0.150 0.150,1,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0017911437898874283,0.8343429234140197,0.833620090254296,0.9982088562101126,0.8343429234140197,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10
Envelope-DQN,1,mse_ssim_balance,0.350 0.350 0.150 0.150,2,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0025476706214249134,0.8589253919143739,0.7958325117695412,0.9974523293785751,0.8589253919143739,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10
Envelope-DQN,1,mse_ssim_balance,0.350 0.350 0.150 0.150,3,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0018813423812389374,0.8687246041162012,0.8392101482801035,0.9981186576187611,0.8687246041162012,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10
Envelope-DQN,1,mse_ssim_balance,0.350 0.350 0.150 0.150,4,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0011297360761091113,0.8922861439577889,0.8573227789290954,0.9988702639238909,0.8922861439577889,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10
Envelope-DQN,1,mse_ssim_balance,0.350 0.350 0.150 0.150,5,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.003190188203006983,0.8615904497281691,0.7901250323390849,0.996809811796993,0.8615904497281691,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10
Envelope-DQN,1,mse_ssim_balance,0.350 0.350 0.150 0.150,6,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0010648594470694661,0.9211688234064369,0.8749879742751393,0.9989351405529305,0.9211688234064369,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10
Envelope-DQN,1,mse_ssim_balance,0.350 0.350 0.150 0.150,7,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0027376848738640547,0.8188216980639734,0.7892422736119004,0.997262315126136,0.8188216980639734,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10
Envelope-DQN,1,mse_ssim_balance,0.350 0.350 0.150 0.150,8,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0029997266829013824,0.8394458494398314,0.7404250903290961,0.9970002733170986,0.8394458494398314,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10
Envelope-DQN,1,mse_ssim_balance,0.350 0.350 0.150 0.150,9,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0033812997862696648,0.8274162941203673,0.7682870609344608,0.9966187002137303,0.8274162941203673,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10
Envelope-DQN,2,general_balance,0.250 0.250 0.250 0.250,0,0,0,1,0,0.0,0.0,0.0,0.004583664238452911,0.76571156180549,0.7103626398281342,0.9954163357615471,0.76571156180549,1.0,1.0,0,H00,,,10
Envelope-DQN,2,general_balance,0.250 0.250 0.250 0.250,1,0,0,1,0,0.0,0.0,0.0,0.0025699366815388203,0.7542832652098576,0.7371436819482458,0.9974300633184612,0.7542832652098576,1.0,1.0,0,H00,,,10
Envelope-DQN,2,general_balance,0.250 0.250 0.250 0.250,2,0,0,1,0,0.0,0.0,0.0,0.004378097131848335,0.7438907766258998,0.6861632805796961,0.9956219028681517,0.7438907766258998,1.0,1.0,0,H00,,,10
