method,preference_id,preference_name,preference,image_id,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,actions,repeat
Envelope-DQN,0.0,high_fidelity,0.550 0.250 0.100 0.100,4,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0011297360761091113,0.8922865877058644,0.8573227797807235,0.9988702639238909,0.8922865877058644,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10,
random,,high_fidelity,,4,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0011728492099791765,0.886545326875237,0.857572996056836,0.9988271507900208,0.886545326875237,0.8888888888888888,0.8888888888888888,0 3,H00 H02,3,H02,,
top-k energy,,high_fidelity,,4,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0011651371605694294,0.8902995025342625,0.8392450758375598,0.9988348628394306,0.8902995025342625,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,
greedy,,high_fidelity,,4,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0011297360761091113,0.8922865877058644,0.8573227797807235,0.9988702639238909,0.8922865877058644,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,,
Envelope-DQN,0.0,high_fidelity,0.550 0.250 0.100 0.100,5,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.003190188203006983,0.861590741479085,0.7901250363946927,0.996809811796993,0.861590741479085,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10,
random,,high_fidelity,,5,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0032738824374973774,0.8568543277317647,0.7677018990151248,0.9967261175625026,0.8568543277317647,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,
top-k energy,,high_fidelity,,5,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002505419310182333,0.871336864261012,0.8319563093994995,0.9974945806898177,0.871336864261012,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,
greedy,,high_fidelity,,5,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002505419310182333,0.871336864261012,0.8319563093994995,0.9974945806898177,0.871336864261012,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,
Envelope-DQN,0.0,high_fidelity,0.550 0.250 0.100 0.100,6,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.001064859563484788,0.9211689055887329,0.8749879835525162,0.9989351404365152,0.9211689055887329,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10,
random,,high_fidelity,,6,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.001268045394681394,0.9110453884813859,0.8508193495076394,0.9987319546053186,0.9110453884813859,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,
top-k energy,,high_fidelity,,6,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0012225499376654625,0.8973037685875589,0.8344807960083354,0.9987774500623345,0.8973037685875589,0.8888888888888888,0.8888888888888888,0 9,H00 H30,9,H30,,
greedy,,high_fidelity,,6,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.000836009276099503,0.9240033669124815,0.873383759523798,0.9991639907239005,0.9240033669124815,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,
Envelope-DQN,0.0,high_fidelity,0.550 0.250 0.100 0.100,7,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0027376851066946983,0.8188216988878783,0.7892422630097179,0.9972623148933053,0.8188216988878783,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10,
random,,high_fidelity,,7,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002625853754580021,0.7953278319987687,0.7671014713103048,0.99737414624542,0.7953278319987687,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,
top-k energy,,high_fidelity,,7,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002625853754580021,0.7953278319987687,0.7671014713103048,0.99737414624542,0.7953278319987687,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,
greedy,,high_fidelity,,7,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0027376851066946983,0.8188216988878783,0.7892422630097179,0.9972623148933053,0.8188216988878783,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,,
Envelope-DQN,0.0,high_fidelity,0.550 0.250 0.100 0.100,8,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0029997266829013824,0.8394454093993277,0.7404250944625208,0.9970002733170986,0.8394454093993277,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10,
random,,high_fidelity,,8,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.003496771212667227,0.7956541110099793,0.6875821587641596,0.9965032287873328,0.7956541110099793,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,
top-k energy,,high_fidelity,,8,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0035083291586488485,0.7983060511035067,0.6906198651163409,0.9964916708413512,0.7983060511035067,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,
greedy,,high_fidelity,,8,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0029997266829013824,0.8394454093993277,0.7404250944625208,0.9970002733170986,0.8394454093993277,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,,
