method,image_id,repeat,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels
top-k energy,2,,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.002531039761379361,0.8535877082316375,0.7697674539026035,0.9974689602386206,0.8535877082316375,0.7777777777777778,0.7777777777777778,0 2 9,H00 H10 H30,2 9,H10 H30
top-k energy,2,,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0017495881766080856,0.8961187214474332,0.8177966556319938,0.9982504118233919,0.8961187214474332,0.6666666666666667,0.6666666666666667,0 1 2 9,H00 H01 H10 H30,1 2 9,H01 H10 H30
top-k energy,2,,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0017224253388121724,0.8966767636441164,0.8164511306310456,0.9982775746611878,0.8966767636441164,0.5555555555555556,0.5555555555555556,0 1 2 6 9,H00 H01 H10 H03 H30,1 2 6 9,H01 H10 H03 H30
top-k energy,2,,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0016077107284218073,0.9028956825699874,0.8366949714289434,0.9983922892715782,0.9028956825699874,0.4444444444444444,0.4444444444444444,0 1 2 6 7 9,H00 H01 H10 H03 H12 H30,1 2 6 7 9,H01 H10 H03 H12 H30
top-k energy,2,,6,6,7,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0013573202304542065,0.9209075427739288,0.8828656337825969,0.9986426797695458,0.9209075427739288,0.33333333333333337,0.33333333333333337,0 1 2 6 7 8 9,H00 H01 H10 H03 H12 H21 H30,1 2 6 7 8 9,H01 H10 H03 H12 H21 H30
top-k energy,2,,7,7,8,7,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0011700820177793503,0.9290866114013119,0.9054521497167697,0.9988299179822206,0.9290866114013119,0.2222222222222222,0.2222222222222222,0 1 2 3 6 7 8 9,H00 H01 H10 H02 H03 H12 H21 H30,1 2 3 6 7 8 9,H01 H10 H02 H03 H12 H21 H30
top-k energy,2,,8,8,9,8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.000926346518099308,0.9402348699134538,0.9281910402787982,0.9990736534819007,0.9402348699134538,0.11111111111111116,0.11111111111111116,0 1 2 3 5 6 7 8 9,H00 H01 H10 H02 H20 H03 H12 H21 H30,1 2 3 5 6 7 8 9,H01 H10 H02 H20 H03 H12 H21 H30
top-k energy,2,,9,9,10,9,1.0,1.0,1.0,0.0006764422869309783,0.9572283806330242,0.9471644389838056,0.999323557713069,0.9572283806330242,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30
top-k energy,3,,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0021134642884135246,0.8512975275876414,0.7906227390359293,0.9978865357115865,0.8512975275876414,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10
top-k energy,3,,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.002115605166181922,0.8504841328774635,0.7868323437166733,0.9978843948338181,0.8504841328774635,0.7777777777777778,0.7777777777777778,0 2 9,H00 H10 H30,2 9,H10 H30
top-k energy,3,,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0015627974644303322,0.8888451158158773,0.8316923633818739,0.9984372025355697,0.8888451158158773,0.6666666666666667,0.6666666666666667,0 1 2 9,H00 H01 H10 H30,1 2 9,H01 H10 H30
top-k energy,3,,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0015590136172249913,0.8883228403306815,0.8307542268118691,0.998440986382775,0.8883228403306815,0.5555555555555556,0.5555555555555556,0 1 2 6 9,H00 H01 H10 H03 H30,1 2 6 9,H01 H10 H03 H30
top-k energy,3,,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0014084724243730307,0.9013387787108189,0.8473488639084537,0.998591527575627,0.9013387787108189,0.4444444444444444,0.4444444444444444,0 1 2 6 7 9,H00 H01 H10 H03 H12 H30,1 2 6 7 9,H01 H10 H03 H12 H30
top-k energy,3,,6,6,7,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0010990028968080878,0.9158151817112701,0.9080050031511078,0.9989009971031919,0.9158151817112701,0.33333333333333337,0.33333333333333337,0 1 2 6 7 8 9,H00 H01 H10 H03 H12 H21 H30,1 2 6 7 8 9,H01 H10 H03 H12 H21 H30
top-k energy,3,,7,7,8,7,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0008987594628706574,0.9268064368316875,0.9258272467547406,0.9991012405371293,0.9268064368316875,0.2222222222222222,0.2222222222222222,0 1 2 3 6 7 8 9,H00 H01 H10 H02 H03 H12 H21 H30,1 2 3 6 7 8 9,H01 H10 H02 H03 H12 H21 H30
top-k energy,3,,8,8,9,8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0007641747361049056,0.9367802178179325,0.9399566339802555,0.9992358252638951,0.9367802178179325,0.11111111111111116,0.11111111111111116,0 1 2 3 5 6 7 8 9,H00 H01 H10 H02 H20 H03 H12 H21 H30,1 2 3 5 6 7 8 9,H01 H10 H02 H20 H03 H12 H21 H30
top-k energy,3,,9,9,10,9,1.0,1.0,1.0,0.0006095707067288458,0.9527124321347327,0.9524821076205684,0.9993904292932712,0.9527124321347327,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30
top-k energy,4,,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0011651372769847512,0.8902992299546385,0.8392450677876284,0.9988348627230152,0.8902992299546385,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10
top-k energy,4,,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0011651369277387857,0.8902965669434929,0.8392293468412012,0.9988348630722612,0.8902965669434929,0.7777777777777778,0.7777777777777778,0 2 9,H00 H10 H30,2 9,H10 H30
top-k energy,4,,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0009522747714072466,0.9079023647331383,0.8544051764391246,0.9990477252285928,0.9079023647331383,0.6666666666666667,0.6666666666666667,0 2 6 9,H00 H10 H03 H30,2 6 9,H10 H03 H30
top-k energy,4,,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0007668311009183526,0.9238106027582171,0.8664948113480655,0.9992331688990816,0.9238106027582171,0.5555555555555556,0.5555555555555556,0 1 2 6 9,H00 H01 H10 H03 H30,1 2 6 9,H01 H10 H03 H30
top-k energy,4,,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.000687435909640044,0.9319616254069151,0.8889824315391145,0.99931256409036,0.9319616254069151,0.4444444444444444,0.4444444444444444,0 1 2 6 7 9,H00 H01 H10 H03 H12 H30,1 2 6 7 9,H01 H10 H03 H12 H30
top-k energy,4,,6,6,7,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.000626826542429626,0.937315038672242,0.9068940808150995,0.9993731734575704,0.937315038672242,0.33333333333333337,0.33333333333333337,0 1 2 6 7 8 9,H00 H01 H10 H03 H12 H21 H30,1 2 6 7 8 9,H01 H10 H03 H12 H21 H30
top-k energy,4,,7,7,8,7,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0005108239129185677,0.9500559883792392,0.9205184079268008,0.9994891760870814,0.9500559883792392,0.2222222222222222,0.2222222222222222,0 1 2 4 6 7 8 9,H00 H01 H10 H11 H03 H12 H21 H30,1 2 4 6 7 8 9,H01 H10 H11 H03 H12 H21 H30
top-k energy,4,,8,8,9,8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0004261220747139305,0.9578597142884904,0.9391817284844216,0.9995738779252861,0.9578597142884904,0.11111111111111116,0.11111111111111116,0 1 2 3 4 6 7 8 9,H00 H01 H10 H02 H11 H03 H12 H21 H30,1 2 3 4 6 7 8 9,H01 H10 H02 H11 H03 H12 H21 H30
top-k energy,4,,9,9,10,9,1.0,1.0,1.0,0.00033094611717388034,0.9674688533178833,0.9561272634650344,0.9996690538828261,0.9674688533178833,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30
top-k energy,5,,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0025054190773516893,0.8713366623400898,0.8319563163433847,0.9974945809226483,0.8713366623400898,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10
top-k energy,5,,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0024954797700047493,0.8712650890795428,0.83851488550211,0.9975045202299953,0.8712650890795428,0.7777777777777778,0.7777777777777778,0 2 9,H00 H10 H30,2 9,H10 H30
top-k energy,5,,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0019969744607806206,0.8945510524295173,0.8542939699719986,0.9980030255392194,0.8945510524295173,0.6666666666666667,0.6666666666666667,0 1 2 9,H00 H01 H10 H30,1 2 9,H01 H10 H30
top-k energy,5,,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.001907972851768136,0.8939043841680222,0.861816984064919,0.9980920271482319,0.8939043841680222,0.5555555555555556,0.5555555555555556,0 1 2 6 9,H00 H01 H10 H03 H30,1 2 6 9,H01 H10 H03 H30
top-k energy,5,,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0018292033346369863,0.9020366882473478,0.8754844230196851,0.998170796665363,0.9020366882473478,0.4444444444444444,0.4444444444444444,0 1 2 6 7 9,H00 H01 H10 H03 H12 H30,1 2 6 7 9,H01 H10 H03 H12 H30
top-k energy,5,,6,6,7,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0010626418516039848,0.9215865355698164,0.9406560557418499,0.998937358148396,0.9215865355698164,0.33333333333333337,0.33333333333333337,0 1 2 5 6 7 9,H00 H01 H10 H20 H03 H12 H30,1 2 5 6 7 9,H01 H10 H20 H03 H12 H30
top-k energy,5,,7,7,8,7,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0010611661709845066,0.9214509161594506,0.9410852735958217,0.9989388338290155,0.9214509161594506,0.2222222222222222,0.2222222222222222,0 1 2 5 6 7 8 9,H00 H01 H10 H20 H03 H12 H21 H30,1 2 5 6 7 8 9,H01 H10 H20 H03 H12 H21 H30
top-k energy,5,,8,8,9,8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0009356073569506407,0.9307417149315549,0.9458893162202607,0.9990643926430494,0.9307417149315549,0.11111111111111116,0.11111111111111116,0 1 2 3 5 6 7 8 9,H00 H01 H10 H02 H20 H03 H12 H21 H30,1 2 3 5 6 7 8 9,H01 H10 H02 H20 H03 H12 H21 H30
top-k energy,5,,9,9,10,9,1.0,1.0,1.0,0.0007503386586904526,0.9419080456552693,0.9570711008680644,0.9992496613413095,0.9419080456552693,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30
top-k energy,6,,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0012225498212501407,0.8973035363881328,0.8344808177594637,0.9987774501787499,0.8973035363881328,0.8888888888888888,0.8888888888888888,0 9,H00 H30,9,H30
top-k energy,6,,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0008213341352529824,0.9235720160183598,0.8716070945876724,0.999178665864747,0.9235720160183598,0.7777777777777778,0.7777777777777778,0 2 9,H00 H10 H30,2 9,H10 H30
top-k energy,6,,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0008211910026147962,0.9237320207493483,0.8717692279943152,0.9991788089973852,0.9237320207493483,0.6666666666666667,0.6666666666666667,0 2 7 9,H00 H10 H12 H30,2 7 9,H10 H12 H30
top-k energy,6,,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0007525105029344559,0.9353392918402601,0.8801950876533513,0.9992474894970655,0.9353392918402601,0.5555555555555556,0.5555555555555556,0 2 6 7 9,H00 H10 H03 H12 H30,2 6 7 9,H10 H03 H12 H30
top-k energy,6,,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0006704991101287305,0.9450366793025404,0.8904463995955277,0.9993295008898713,0.9450366793025404,0.4444444444444444,0.4444444444444444,0 1 2 6 7 9,H00 H01 H10 H03 H12 H30,1 2 6 7 9,H01 H10 H03 H12 H30
top-k energy,6,,6,6,7,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0006051611853763461,0.9457402894811596,0.9061466472424106,0.9993948388146237,0.9457402894811596,0.33333333333333337,0.33333333333333337,0 1 2 3 6 7 9,H00 H01 H10 H02 H03 H12 H30,1 2 3 6 7 9,H01 H10 H02 H03 H12 H30
top-k energy,6,,7,7,8,7,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.00048291549319401383,0.9541730800030064,0.9298099086751054,0.999517084506806,0.9541730800030064,0.2222222222222222,0.2222222222222222,0 1 2 3 4 6 7 9,H00 H01 H10 H02 H11 H03 H12 H30,1 2 3 4 6 7 9,H01 H10 H02 H11 H03 H12 H30
top-k energy,6,,8,8,9,8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.00039630813989788294,0.9609296675439255,0.9478673365380677,0.9996036918601021,0.9609296675439255,0.11111111111111116,0.11111111111111116,0 1 2 3 4 6 7 8 9,H00 H01 H10 H02 H11 H03 H12 H21 H30,1 2 3 4 6 7 8 9,H01 H10 H02 H11 H03 H12 H21 H30
