method,image_id,repeat,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,preference_id,preference_name,preference,actions,is_pareto_global,is_pareto_by_method
random,6,6.0,9,9,10,9,1.0,1.0,1.0,0.0003065512282773,0.9707374561591324,0.9658649900788626,0.9996934487717226,0.9707374561591324,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,7.0,9,9,10,9,1.0,1.0,1.0,0.0003065512282773,0.9707374561591324,0.9658649900788626,0.9996934487717226,0.9707374561591324,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,8.0,9,9,10,9,1.0,1.0,1.0,0.0003065512282773,0.9707374561591324,0.9658649900788626,0.9996934487717226,0.9707374561591324,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,9.0,9,9,10,9,1.0,1.0,1.0,0.0003065512282773,0.9707374561591324,0.9658649900788626,0.9996934487717226,0.9707374561591324,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,10.0,9,9,10,9,1.0,1.0,1.0,0.0003065512282773,0.9707374561591324,0.9658649900788626,0.9996934487717226,0.9707374561591324,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,11.0,9,9,10,9,1.0,1.0,1.0,0.0003065512282773,0.9707374561591324,0.9658649900788626,0.9996934487717226,0.9707374561591324,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,12.0,9,9,10,9,1.0,1.0,1.0,0.0003065512282773,0.9707374561591324,0.9658649900788626,0.9996934487717226,0.9707374561591324,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,13.0,9,9,10,9,1.0,1.0,1.0,0.0003065512282773,0.9707374561591324,0.9658649900788626,0.9996934487717226,0.9707374561591324,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,14.0,9,9,10,9,1.0,1.0,1.0,0.0003065512282773,0.9707374561591324,0.9658649900788626,0.9996934487717226,0.9707374561591324,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,15.0,9,9,10,9,1.0,1.0,1.0,0.0003065512282773,0.9707374561591324,0.9658649900788626,0.9996934487717226,0.9707374561591324,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,16.0,9,9,10,9,1.0,1.0,1.0,0.0003065512282773,0.9707374561591324,0.9658649900788626,0.9996934487717226,0.9707374561591324,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,17.0,9,9,10,9,1.0,1.0,1.0,0.0003065512282773,0.9707374561591324,0.9658649900788626,0.9996934487717226,0.9707374561591324,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,18.0,9,9,10,9,1.0,1.0,1.0,0.0003065512282773,0.9707374561591324,0.9658649900788626,0.9996934487717226,0.9707374561591324,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,19.0,9,9,10,9,1.0,1.0,1.0,0.0003065512282773,0.9707374561591324,0.9658649900788626,0.9996934487717226,0.9707374561591324,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
top-k energy,6,,9,9,10,9,1.0,1.0,1.0,0.0003065512282773,0.9707374561591324,0.9658649900788626,0.9996934487717226,0.9707374561591324,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
greedy,4,,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0003741089021787,0.963861053200454,0.951031560806948,0.9996258910978212,0.963861053200454,0.5555555555555556,0.5555555555555556,0 3 4 5 6,H00 H02 H11 H20 H03,3 4 5 6,H02 H11 H20 H03,,,,,True,True
greedy,6,,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0008360092760995,0.9240033669124816,0.873383759523798,0.9991639907239004,0.9240033669124816,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,,,,True,True
greedy,6,,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0005874915514141,0.9488210503928868,0.9235264782152472,0.999412508448586,0.9488210503928868,0.7777777777777778,0.7777777777777778,0 2 8,H00 H10 H21,2 8,H10 H21,,,,,True,True
greedy,6,,7,7,8,7,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0003111997793894,0.9709844998528075,0.964777192742568,0.9996888002206106,0.9709844998528075,0.2222222222222222,0.2222222222222222,0 2 3 4 5 6 8 9,H00 H10 H02 H11 H20 H03 H21 H30,2 3 4 5 6 8 9,H10 H02 H11 H20 H03 H21 H30,,,,,True,True
greedy,6,,8,8,9,8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0003109155222773,0.9710754795923529,0.9647958172374924,0.9996890844777226,0.9710754795923529,0.1111111111111111,0.1111111111111111,0 2 3 4 5 6 7 8 9,H00 H10 H02 H11 H20 H03 H12 H21 H30,2 3 4 5 6 7 8 9,H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
greedy,6,,9,9,10,9,1.0,1.0,1.0,0.0003065512282773,0.9707374561591324,0.9658649900788626,0.9996934487717226,0.9707374561591324,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
Envelope-DQN,6,,0,0,1,0,0.0,0.0,0.0,0.0017141567077487,0.8677197799516242,0.7970606496935626,0.9982858432922512,0.8677197799516242,1.0,1.0,0,H00,,,2.0,general_balance,0.250 0.250 0.250 0.250,10,True,True
Envelope-DQN,6,,0,0,1,0,0.0,0.0,0.0,0.0017141567077487,0.8677197799516242,0.7970606496935626,0.9982858432922512,0.8677197799516242,1.0,1.0,0,H00,,,3.0,compact,0.200 0.200 0.300 0.300,10,True,True
Envelope-DQN,6,,0,0,1,0,0.0,0.0,0.0,0.0017141567077487,0.8677197799516242,0.7970606496935626,0.9982858432922512,0.8677197799516242,1.0,1.0,0,H00,,,4.0,very_compact,0.150 0.150 0.350 0.350,10,True,True
