episode,global_step,epsilon,scalar_return,loss,mse,ssim,k,paid_k,total_k,cost,actions
1,5,0.9984166666666666,0.040612027049064636,,0.001924561453051865,0.8961176847580568,4,4,5,0.0,2 4 5 8 10
2,11,0.9965166666666667,0.41400301456451416,,0.000964779406785965,0.9308790248263888,5,5,6,0.0,1 4 7 8 9 10
3,12,0.9962,0.0,,0.003433574689552188,0.7811278320082622,0,0,1,0.0,10
4,16,0.9949333333333333,0.35005688667297363,,0.0008332989527843893,0.9077612421742234,3,3,4,0.0,1 3 8 10
5,17,0.9946166666666667,0.0,,0.0010097383055835962,0.8772352220940178,0,0,1,0.0,10
6,18,0.9943,0.0,,0.0038122893311083317,0.7455259617759961,0,0,1,0.0,10
7,22,0.9930333333333333,0.14190159738063812,,0.0007818965241312981,0.9139625711918019,3,3,4,0.0,8 1 5 10
8,28,0.9911333333333333,0.3607959747314453,,0.0010808901861310005,0.8882790906853114,5,5,6,0.0,6 7 9 5 3 10
9,36,0.9886,0.4290972352027893,,0.0003333153435960412,0.9673697736012383,7,7,8,0.0,5 6 9 4 7 1 3 10
10,38,0.9879666666666667,0.11474058032035828,,0.0007828282541595399,0.8936941840826543,1,1,2,0.0,7 10
11,47,0.9851166666666666,-0.06915291398763657,,0.0006720139645040035,0.9463900308723824,8,8,9,0.0,8 4 5 2 1 3 7 9 10
12,52,0.9835333333333334,0.111993208527565,,0.0010614185594022274,0.8922052691634147,4,4,5,0.0,6 1 7 5 10
13,53,0.9832166666666666,0.0,,0.0015812440542504191,0.7771263515552358,0,0,1,0.0,10
14,56,0.9822666666666666,0.39095208048820496,,0.0020398329943418503,0.8783654507059121,2,2,3,0.0,6 5 10
15,64,0.9797333333333333,-0.04657358676195145,,0.0005291853449307382,0.9419778420652986,7,7,8,0.0,1 4 7 2 8 5 6 10
16,71,0.9775166666666667,0.5363193154335022,,0.0007569823646917939,0.930977913166765,6,6,7,0.0,4 9 2 8 3 7 10
17,79,0.9749833333333333,0.15983588993549347,,0.0006928549846634269,0.9333799731043941,7,7,8,0.0,7 2 8 1 3 9 4 10
18,81,0.97435,0.24413280189037323,,0.00198098411783576,0.8419445934002238,1,1,2,0.0,5 10
19,85,0.9730833333333333,0.2943970561027527,,0.0016849879175424576,0.8751790608488705,3,3,4,0.0,1 2 6 10
20,93,0.97055,0.03072419762611389,,0.0010059651685878634,0.920643864068846,7,7,8,0.0,9 5 8 3 7 1 2 10
21,97,0.9692833333333334,0.30076420307159424,,0.002029597293585539,0.8334893292518206,3,3,4,0.0,6 3 1 10
22,105,0.96675,0.17160505056381226,,0.0006232066079974174,0.9377401380951425,7,7,8,0.0,5 3 7 1 8 4 6 10
23,109,0.9654833333333334,0.2941575348377228,,0.001600287389010191,0.8715880258400857,3,3,4,0.0,9 6 3 10
24,110,0.9651666666666666,0.0,,0.0028538373298943043,0.6946785218192001,0,0,1,0.0,10
25,117,0.96295,0.0899600237607956,,0.000745479017496109,0.9226108486282414,6,6,7,0.0,4 9 7 8 2 3 10
26,122,0.9613666666666667,0.18874838948249817,,0.0011128068435937166,0.8937322865201517,4,4,5,0.0,7 2 6 5 10
27,131,0.9585166666666667,0.04774801433086395,0.011547734960913658,0.0004454011213965714,0.9578100663037278,8,8,9,0.0,9 2 8 7 6 5 4 1 10
28,136,0.9569333333333333,0.10485219955444336,0.007115722261369228,0.00120938615873456,0.9064480217525849,4,4,5,0.0,2 8 6 3 10
29,138,0.9563,0.06357906758785248,0.005894131492823362,0.0018233954906463623,0.811724990331673,1,1,2,0.0,3 10
30,140,0.9556666666666667,0.1427215039730072,0.005021762102842331,0.000596851808950305,0.9107613826434124,1,1,2,0.0,2 10
31,143,0.9547166666666667,0.33279871940612793,0.004690613908072312,0.0015465108444914222,0.8800856228054066,2,2,3,0.0,8 3 10
32,144,0.9544,0.0,0.004454088397324085,0.003858348820358515,0.6075436459371419,0,0,1,0.0,10
33,148,0.9531333333333334,0.053009480237960815,0.003941918606869876,0.0012376854429021478,0.879463783962548,3,3,4,0.0,8 1 7 10
34,154,0.9512333333333334,-0.0057467445731163025,0.003422546355674664,0.0012571115512400866,0.8651660864244743,5,5,6,0.0,6 4 5 3 1 10
35,160,0.9493333333333334,-0.0357896164059639,0.0026586916646920145,0.0010673492215573788,0.8775341341473543,5,5,6,0.0,6 2 1 9 3 10
36,164,0.9480666666666666,0.1748974472284317,0.0016731610521674156,0.0006636452162638307,0.9392994875165852,3,3,4,0.0,7 5 6 10
37,165,0.94775,0.0,0.0015877729747444391,0.0032402859069406986,0.724997494196991,0,0,1,0.0,10
38,174,0.9449,0.31005412340164185,0.0014561763188491266,0.0010793664259836078,0.9030750394044676,9,9,10,0.0,2 3 9 4 7 1 6 8 5
39,176,0.9442666666666667,0.30233871936798096,0.0011175893305335194,0.0016238575335592031,0.8398539921740573,1,1,2,0.0,3 10
40,178,0.9436333333333333,0.2755821943283081,0.001029016770189628,0.002715782495215535,0.8396726515804119,1,1,2,0.0,3 10
41,187,0.9407833333333333,0.39870133996009827,0.00098116625384945,0.0003179351333528757,0.9672944707248923,9,9,10,0.0,8 3 1 6 7 5 4 9 2
42,193,0.9388833333333333,0.3729104995727539,0.0008768395443136493,0.0005419568624347448,0.9496020280294271,5,5,6,0.0,3 6 4 2 9 10
43,200,0.9366666666666666,0.20228679478168488,0.0007698556957101184,0.0011852558236569166,0.902875728169888,6,6,7,0.0,1 5 3 7 6 9 10
44,207,0.93445,0.13341492414474487,0.0007079003761256379,0.0009281195234507322,0.8921258335625233,6,6,7,0.0,3 5 9 2 6 7 10
45,210,0.9335,0.1795606017112732,0.0005977136121752361,0.0008378989878110588,0.9270958431711803,2,2,3,0.0,4 7 10
46,217,0.9312833333333334,-0.02255549281835556,0.0006499374035878905,0.0006336310761980712,0.9302225184142944,6,6,7,0.0,5 8 7 3 6 1 10
47,222,0.9297,0.025999583303928375,0.0005475158803164959,0.000858270563185215,0.909213987146986,4,4,5,0.0,9 4 2 7 10
48,229,0.9274833333333333,0.05908159911632538,0.0005694118153769523,0.0010814758716151118,0.9084843146248182,6,6,7,0.0,7 9 5 8 6 2 10
49,237,0.92495,-0.07034023106098175,0.0005970601341687143,0.00047394519788213074,0.9210156688685933,7,7,8,0.0,2 9 8 1 7 5 3 10
50,239,0.9243166666666667,0.23695741593837738,0.0005639228620566428,0.0027765915729105473,0.8002138242953846,1,1,2,0.0,7 10
51,243,0.92305,0.07425542920827866,0.0005834362818859518,0.0009864472085610032,0.9059422856526766,3,3,4,0.0,8 7 3 10
52,250,0.9208333333333334,-0.037080101668834686,0.0005515244847629219,0.0009727015276439488,0.9136949239052858,6,6,7,0.0,4 6 9 1 8 5 10
53,252,0.9202,0.19717302918434143,0.00512077915482223,0.002370540052652359,0.8344859696401994,1,1,2,0.0,8 10
54,261,0.91735,0.13512401282787323,0.002848309464752674,0.00030623964266851544,0.9617493655997706,9,9,10,0.0,3 4 9 7 5 2 1 6 8
55,262,0.9170333333333334,0.0,0.0014822585508227348,0.0027219681069254875,0.7970984436465841,0,0,1,0.0,10
56,265,0.9160833333333334,0.09758003801107407,0.0012202030435825388,0.0012703435495495796,0.8871299212485082,2,2,3,0.0,9 6 10
57,266,0.9157666666666666,0.0,0.0017717534210532904,0.0033651564735919237,0.673386523691665,0,0,1,0.0,10
58,268,0.9151333333333334,0.09116023033857346,0.0018670997815206647,0.0030213359277695417,0.8128535559857164,1,1,2,0.0,6 10
59,277,0.9122833333333333,0.14866875112056732,0.0010356610420987839,0.0007790932431817055,0.9345213708320498,8,8,9,0.0,4 5 3 9 7 8 6 2 10
60,279,0.91165,0.11953593790531158,0.0006632763834204525,0.002884667133912444,0.8185299673011387,1,1,2,0.0,1 10
61,282,0.9107000000000001,0.052569013088941574,0.0006676752430697283,0.0018992176046594977,0.7924495907932272,2,2,3,0.0,1 5 10
62,288,0.9088,0.36982229351997375,0.0006674639880657196,0.0011248065857216716,0.909914479173463,5,5,6,0.0,6 3 5 2 8 10
63,291,0.90785,0.1527373194694519,0.0006320976923840741,0.0016306617762893438,0.8459045298565866,2,2,3,0.0,3 2 10
64,297,0.90595,0.010937243700027466,0.0005619295019035538,0.0006613851292058825,0.924862365678006,5,5,6,0.0,3 6 7 4 9 10
65,304,0.9037333333333334,0.16658172011375427,0.0005645229996714209,0.0007773245451971889,0.9103264797935162,6,6,7,0.0,8 5 7 1 4 6 10
66,306,0.9031,0.08926241099834442,0.00048464376595802605,0.001672184793278575,0.8808546189737022,1,1,2,0.0,8 10
67,315,0.90025,0.12379953265190125,0.0004992537594969488,0.0007521686493419111,0.9353232094386812,9,9,10,0.0,4 8 3 9 1 6 5 7 2
68,322,0.8980333333333334,-0.011411450803279877,0.00048686050078166384,0.0013788404176011682,0.9176010384576508,6,6,7,0.0,4 1 8 3 2 7 10
69,331,0.8951833333333333,0.14644509553909302,0.0005845995910931379,0.0009569015237502754,0.9247751360167789,9,9,10,0.0,2 9 5 6 4 8 3 1 7
70,340,0.8923333333333333,-0.05659310519695282,0.0005152994773298916,0.0015899100108072162,0.8544397539371684,9,9,10,0.0,7 8 4 3 9 2 1 6 5
