episode,seed,hermite_config,sigma,kernel_size,max_order,global_step,epsilon,scalar_return,loss,mse,ssim,k,paid_k,total_k,cost,actions
1,1,sigma_1p0__kernel_9__order_2,1.0,9,2,2,0.9993666666666666,0.1211259514093399,,0.001383825670927763,0.8585987449507367,1,1,2,0.0,5 6
2,1,sigma_1p0__kernel_9__order_2,1.0,9,2,7,0.9977833333333334,0.2268659919500351,,0.00022937111498322338,0.9765678144876229,4,4,5,0.0,2 3 4 5 6
3,1,sigma_1p0__kernel_9__order_2,1.0,9,2,10,0.9968333333333333,0.15415790677070618,,0.0003676850174088031,0.9591567165148528,2,2,3,0.0,5 3 6
4,1,sigma_1p0__kernel_9__order_2,1.0,9,2,11,0.9965166666666667,0.0,,0.0011310902191326022,0.850055396317656,0,0,1,0.0,6
5,1,sigma_1p0__kernel_9__order_2,1.0,9,2,16,0.9949333333333333,0.4762852191925049,,0.0005707937525585294,0.9483409410211902,5,5,6,0.0,1 4 3 5 2
6,1,sigma_1p0__kernel_9__order_2,1.0,9,2,21,0.99335,0.4647652506828308,,0.00048601313028484583,0.9562057949487435,5,5,6,0.0,1 5 4 2 3
7,1,sigma_1p0__kernel_9__order_2,1.0,9,2,25,0.9920833333333333,0.015387460589408875,,0.0001854102301876992,0.9767401868856194,3,3,4,0.0,1 3 5 6
8,1,sigma_1p0__kernel_9__order_2,1.0,9,2,29,0.9908166666666667,0.043205976486206055,,0.0001278771524084732,0.983891405510704,3,3,4,0.0,4 3 5 6
9,1,sigma_1p0__kernel_9__order_2,1.0,9,2,34,0.9892333333333333,0.42597496509552,,0.0003891394298989326,0.9627816819194948,4,4,5,0.0,2 5 4 3 6
10,1,sigma_1p0__kernel_9__order_2,1.0,9,2,35,0.9889166666666667,0.0,,0.002130668144673109,0.8688772391266545,0,0,1,0.0,6
11,1,sigma_1p0__kernel_9__order_2,1.0,9,2,39,0.98765,0.012923479080200195,,0.0002674508432392031,0.9732549441236378,3,3,4,0.0,2 4 1 6
12,1,sigma_1p0__kernel_9__order_2,1.0,9,2,40,0.9873333333333333,0.0,,0.003308313898742199,0.7732636727288578,0,0,1,0.0,6
13,1,sigma_1p0__kernel_9__order_2,1.0,9,2,41,0.9870166666666667,0.0,,0.003019497264176607,0.8127445637134394,0,0,1,0.0,6
14,1,sigma_1p0__kernel_9__order_2,1.0,9,2,44,0.9860666666666666,0.0492544025182724,,0.0004300959117244929,0.9591116316962044,2,2,3,0.0,1 4 6
15,1,sigma_1p0__kernel_9__order_2,1.0,9,2,47,0.9851166666666666,0.4117099344730377,,0.00104024657048285,0.9423726100583121,2,2,3,0.0,5 4 6
16,1,sigma_1p0__kernel_9__order_2,1.0,9,2,52,0.9835333333333334,0.19243644177913666,,0.0006874401587992907,0.9495596571888566,4,4,5,0.0,1 5 3 4 6
17,1,sigma_1p0__kernel_9__order_2,1.0,9,2,54,0.9829,0.11133995652198792,,0.0006249824073165655,0.9516685632512629,1,1,2,0.0,3 6
18,1,sigma_1p0__kernel_9__order_2,1.0,9,2,59,0.9813166666666666,0.16435185074806213,,0.000310016970615834,0.9650295623771926,5,5,6,0.0,5 4 2 1 3
19,1,sigma_1p0__kernel_9__order_2,1.0,9,2,64,0.9797333333333333,0.5706615447998047,,0.00013534293975681067,0.9771839583316966,5,5,6,0.0,3 5 1 4 2
20,1,sigma_1p0__kernel_9__order_2,1.0,9,2,69,0.97815,0.4762852191925049,,0.0005707937525585294,0.9483409410211902,5,5,6,0.0,3 5 4 2 1
21,1,sigma_1p0__kernel_9__order_2,1.0,9,2,71,0.9775166666666667,0.07897858321666718,,0.0005363631062209606,0.9487830694414915,1,1,2,0.0,4 6
22,1,sigma_1p0__kernel_9__order_2,1.0,9,2,73,0.9768833333333333,0.14013813436031342,,0.0006015819380991161,0.9371621870789034,1,1,2,0.0,4 6
23,1,sigma_1p0__kernel_9__order_2,1.0,9,2,76,0.9759333333333333,0.059558190405368805,,0.00037195117329247296,0.9613045964846287,2,2,3,0.0,1 3 6
24,1,sigma_1p0__kernel_9__order_2,1.0,9,2,81,0.97435,0.16435188055038452,,0.000310016970615834,0.9650295623771926,5,5,6,0.0,5 1 3 4 2
25,1,sigma_1p0__kernel_9__order_2,1.0,9,2,86,0.9727666666666667,-0.09321390092372894,,0.00011217205610591918,0.9870819063163966,5,5,6,0.0,5 4 3 2 1
26,1,sigma_1p0__kernel_9__order_2,1.0,9,2,88,0.9721333333333333,0.24206534028053284,,0.0009250956936739385,0.9184046350984295,1,1,2,0.0,2 6
27,1,sigma_1p0__kernel_9__order_2,1.0,9,2,91,0.9711833333333333,0.17063429951667786,,0.0010337161365896463,0.9085492643037109,2,2,3,0.0,4 1 6
28,1,sigma_1p0__kernel_9__order_2,1.0,9,2,93,0.97055,0.10627041757106781,,0.00048586566117592156,0.9276666167977307,1,1,2,0.0,3 6
29,1,sigma_1p0__kernel_9__order_2,1.0,9,2,98,0.9689666666666666,0.45306396484375,,0.0009606953244656324,0.9427139242395635,4,4,5,0.0,4 1 3 2 6
30,1,sigma_1p0__kernel_9__order_2,1.0,9,2,100,0.9683333333333334,0.3272991180419922,,0.0009361164411529899,0.9292209980905268,1,1,2,0.0,2 6
31,1,sigma_1p0__kernel_9__order_2,1.0,9,2,104,0.9670666666666666,0.5016818046569824,,0.0008315735612995923,0.9452090484137767,3,3,4,0.0,1 5 3 6
32,1,sigma_1p0__kernel_9__order_2,1.0,9,2,106,0.9664333333333334,0.1211259514093399,,0.001383825670927763,0.8585987449507367,1,1,2,0.0,5 6
33,1,sigma_1p0__kernel_9__order_2,1.0,9,2,108,0.9658,0.08697936683893204,,0.00048654573038220406,0.942816647369853,1,1,2,0.0,2 6
34,1,sigma_1p0__kernel_9__order_2,1.0,9,2,109,0.9654833333333334,0.0,,0.0015417041722685099,0.8229836673164623,0,0,1,0.0,6
35,1,sigma_1p0__kernel_9__order_2,1.0,9,2,113,0.9642166666666667,0.5157231092453003,,0.00024080935691017658,0.980954727381645,3,3,4,0.0,4 3 5 6
36,1,sigma_1p0__kernel_9__order_2,1.0,9,2,114,0.9639,0.0,,0.003308313898742199,0.7732636727288578,0,0,1,0.0,6
37,1,sigma_1p0__kernel_9__order_2,1.0,9,2,119,0.9623166666666667,-0.1077355220913887,,0.0003299605450592935,0.9657050667067062,5,5,6,0.0,5 2 3 4 1
38,1,sigma_1p0__kernel_9__order_2,1.0,9,2,122,0.9613666666666667,0.4160655736923218,,0.0003838205011561513,0.969600900024282,2,2,3,0.0,3 4 6
39,1,sigma_1p0__kernel_9__order_2,1.0,9,2,126,0.9601,0.2115631401538849,,0.00047618482494726777,0.9593084215515434,3,3,4,0.0,3 2 1 6
40,1,sigma_1p0__kernel_9__order_2,1.0,9,2,128,0.9594666666666667,0.25337010622024536,0.02140914648771286,0.0018887954065576196,0.8942310052008039,1,1,2,0.0,2 6
41,1,sigma_1p0__kernel_9__order_2,1.0,9,2,133,0.9578833333333333,0.43384382128715515,0.018042251095175744,0.0006650461000390351,0.9368497664983718,4,4,5,0.0,5 4 2 1 6
42,1,sigma_1p0__kernel_9__order_2,1.0,9,2,138,0.9563,0.09929637610912323,0.011911585740745068,0.00017749413382261992,0.9803130662646787,4,4,5,0.0,3 1 5 4 6
43,1,sigma_1p0__kernel_9__order_2,1.0,9,2,141,0.95535,0.40514254570007324,0.008765199842552343,0.0005923730786889791,0.9423244101716278,2,2,3,0.0,1 5 6
44,1,sigma_1p0__kernel_9__order_2,1.0,9,2,145,0.9540833333333334,0.4470125734806061,0.007981164148077369,0.0006031161756254733,0.950230568523356,3,3,4,0.0,2 3 5 6
45,1,sigma_1p0__kernel_9__order_2,1.0,9,2,150,0.9525,0.21097159385681152,0.0070518779568374155,7.922035729279742e-05,0.9850098113490625,4,4,5,0.0,4 1 3 5 6
46,1,sigma_1p0__kernel_9__order_2,1.0,9,2,155,0.9509166666666666,0.16109588742256165,0.004372088890522719,7.915995956864208e-05,0.9850375777936577,5,5,6,0.0,1 5 4 2 3
47,1,sigma_1p0__kernel_9__order_2,1.0,9,2,160,0.9493333333333334,0.5317908525466919,0.003811605740338564,0.0005949079059064388,0.9624397398529665,5,5,6,0.0,4 3 5 1 2
48,1,sigma_1p0__kernel_9__order_2,1.0,9,2,162,0.9487,0.053252775222063065,0.003942159004509449,0.000606580579187721,0.929935085291528,1,1,2,0.0,5 6
49,1,sigma_1p0__kernel_9__order_2,1.0,9,2,167,0.9471166666666667,0.050655797123909,0.0032422490883618595,0.000355405529262498,0.9766140363481467,5,5,6,0.0,1 2 3 5 4
50,1,sigma_1p0__kernel_9__order_2,1.0,9,2,172,0.9455333333333333,-0.11658338457345963,0.0023789388593286275,0.0002648760564625263,0.9685548641912719,5,5,6,0.0,5 4 2 1 3
51,1,sigma_1p0__kernel_9__order_2,1.0,9,2,177,0.94395,0.5706616044044495,0.0016764314379543066,0.00013534293975681067,0.9771839583316966,5,5,6,0.0,1 3 2 4 5
52,1,sigma_1p0__kernel_9__order_2,1.0,9,2,182,0.9423666666666667,0.04367765784263611,0.0015703164273872972,0.00028907760861329734,0.9786078447252334,5,5,6,0.0,4 1 3 5 2
53,1,sigma_1p0__kernel_9__order_2,1.0,9,2,183,0.94205,0.0,0.0017198408022522926,0.0026746829971671104,0.792789371044117,0,0,1,0.0,6
54,1,sigma_1p0__kernel_9__order_2,1.0,9,2,186,0.9411,0.12739980220794678,0.0015794756279016535,0.0010586677817627788,0.896416955183434,2,2,3,0.0,1 4 6
55,1,sigma_1p0__kernel_9__order_2,1.0,9,2,187,0.9407833333333333,0.0,0.001459117978811264,0.001600863877683878,0.8081826047216598,0,0,1,0.0,6
56,1,sigma_1p0__kernel_9__order_2,1.0,9,2,188,0.9404666666666667,0.0,0.0014285858487710357,0.0026746829971671104,0.792789371044117,0,0,1,0.0,6
57,1,sigma_1p0__kernel_9__order_2,1.0,9,2,193,0.9388833333333333,0.07156582176685333,0.001113948505371809,0.0007316712290048599,0.9630115706380568,4,4,5,0.0,1 2 5 4 6
58,1,sigma_1p0__kernel_9__order_2,1.0,9,2,197,0.9376166666666667,0.4661892354488373,0.0012787313316948712,0.0004645662847906351,0.9487376050950515,3,3,4,0.0,5 1 4 6
59,1,sigma_1p0__kernel_9__order_2,1.0,9,2,200,0.9366666666666666,0.37650567293167114,0.0011654611638126273,0.0007985742995515466,0.9504302397777862,2,2,3,0.0,1 4 6
60,1,sigma_1p0__kernel_9__order_2,1.0,9,2,201,0.93635,0.0,0.001410660333931446,0.0011310902191326022,0.850055396317656,0,0,1,0.0,6
61,1,sigma_1p0__kernel_9__order_2,1.0,9,2,206,0.9347666666666666,0.14253215491771698,0.0009762018220499158,0.0006873199017718434,0.9496382234992369,5,5,6,0.0,3 1 4 5 2
