episode,global_step,epsilon,scalar_return,loss,mse,ssim,k,k_effective,cost,actions
1,5,0.9984166666666666,-0.11281946301460266,,0.00185783626511693,0.8966723787559553,4,4,0.4444444444444444,2 4 5 8 10
2,11,0.9965166666666667,0.33073288202285767,,0.0009641375509090722,0.9309751886816853,5,5,0.5555555555555556,1 4 7 8 9 10
3,12,0.9962,0.0,,0.0034315730445086956,0.7812166899541231,0,0,0.0,10
4,16,0.9949333333333333,0.31736689805984497,,0.0007980233640410006,0.914542676471218,3,3,0.3333333333333333,1 3 8 10
5,17,0.9946166666666667,0.0,,0.001008792663924396,0.8773070637725834,0,0,0.0,10
6,18,0.9943,0.0,,0.0038083093240857124,0.7457163336772752,0,0,0.0,10
7,22,0.9930333333333333,0.07886228710412979,,0.000709296204149723,0.9188101502328083,3,3,0.3333333333333333,8 1 5 10
8,28,0.9911333333333333,0.32686612010002136,,0.001022778102196753,0.8954606952409256,5,5,0.5555555555555556,6 7 9 5 3 10
9,36,0.9886,0.3238945007324219,,0.00032052979804575443,0.9707752473997872,7,7,0.7777777777777778,5 6 9 4 7 1 3 10
10,38,0.9879666666666667,0.08186398446559906,,0.0007800683379173279,0.8938862319490856,1,1,0.1111111111111111,7 10
11,47,0.9851166666666666,-0.37755170464515686,,0.0006415446987375617,0.9490405382426825,8,8,0.8888888888888888,8 4 5 2 1 3 7 9 10
12,52,0.9835333333333334,-0.008655756711959839,,0.0009705261327326298,0.9008920971707272,4,4,0.4444444444444444,6 1 7 5 10
13,53,0.9832166666666666,0.0,,0.001579762203618884,0.777240292106032,0,0,0.0,10
14,56,0.9822666666666666,0.42341965436935425,,0.0017430883599445224,0.894905380417419,2,2,0.2222222222222222,6 5 10
15,64,0.9797333333333333,-0.31225529313087463,,0.000480875198263675,0.9469740131026074,7,7,0.7777777777777778,1 4 7 2 8 5 6 10
16,71,0.9775166666666667,0.4827548563480377,,0.0007099813665263355,0.9363075386329723,6,6,0.6666666666666666,4 9 2 8 3 7 10
17,79,0.9749833333333333,-0.026869267225265503,,0.0006530196405947208,0.936776587693076,7,7,0.7777777777777778,7 2 8 1 3 9 4 10
18,81,0.97435,0.2592600882053375,,0.0018652157159522176,0.85566512718088,1,1,0.1111111111111111,5 10
19,85,0.9730833333333333,0.24449190497398376,,0.0016842951299622655,0.8753656786595173,3,3,0.3333333333333333,1 2 6 10
20,93,0.97055,-0.19423310458660126,,0.0009437614935450256,0.9256027107006304,7,7,0.7777777777777778,9 5 8 3 7 1 2 10
21,97,0.9692833333333334,0.27098608016967773,,0.0019262563437223434,0.8443419404513912,3,3,0.3333333333333333,6 3 1 10
22,105,0.96675,-0.01795297861099243,,0.0006033977260813117,0.9403085330153476,7,7,0.7777777777777778,5 3 7 1 8 4 6 10
23,109,0.9654833333333334,0.28239211440086365,,0.001425496768206358,0.885327396420463,3,3,0.3333333333333333,9 6 3 10
24,110,0.9651666666666666,0.0,,0.002852122997865081,0.6947940848036874,0,0,0.0,10
25,117,0.96295,-0.10236513614654541,,0.0006938165752217174,0.928123358127691,6,6,0.6666666666666666,4 9 7 8 2 3 10
26,122,0.9613666666666667,0.09683415293693542,,0.0010094810277223587,0.9043627370870921,4,4,0.4444444444444444,7 2 6 5 10
27,131,0.9585166666666667,-0.2084537297487259,0.012452336261048913,0.00038877216866239905,0.9628562754491847,8,8,0.8888888888888888,9 2 8 7 6 5 4 1 10
28,136,0.9569333333333333,-0.01771210879087448,0.007502957712858915,0.0011253398843109608,0.9125064535423068,4,4,0.4444444444444444,2 8 6 3 10
29,138,0.9563,0.03535672277212143,0.005984700983390212,0.0017448371509090066,0.824178435687999,1,1,0.1111111111111111,3 10
30,140,0.9556666666666667,0.11483718454837799,0.005369674880057573,0.0005964305019006133,0.9107780592930231,1,1,0.1111111111111111,2 10
31,143,0.9547166666666667,0.311545193195343,0.004877828992903233,0.001504930667579174,0.885682506152339,2,2,0.2222222222222222,8 3 10
32,144,0.9544,0.0,0.004871499724686146,0.0038561883848160505,0.6076995441645792,0,0,0.0,10
33,147,0.95345,-0.04353434965014458,0.004369002146025498,0.0017953012138605118,0.8273836195149972,2,2,0.2222222222222222,8 1 10
34,153,0.95155,-0.19488033652305603,0.004029414538914959,0.00120186572894454,0.8722829733057198,5,5,0.5555555555555556,9 5 4 3 1 10
35,160,0.9493333333333334,-0.26908260583877563,0.002854542374344809,0.0007737242267467082,0.9114191456743285,6,6,0.6666666666666666,9 6 2 1 8 3 10
36,164,0.9480666666666666,0.09140509366989136,0.0019100569188594818,0.0005753303412348032,0.9473307734171502,3,3,0.3333333333333333,7 5 6 10
37,165,0.94775,0.0,0.0017791269347071648,0.003237640717998147,0.7251322270458505,0,0,0.0,10
38,174,0.9449,0.1678159236907959,0.0014878782029781076,0.0010417363373562694,0.9060982882657601,9,9,1.0,2 3 9 4 7 1 6 8 5
39,176,0.9442666666666667,0.3369736671447754,0.0011615309631451964,0.00148819200694561,0.8582607531758395,1,1,0.1111111111111111,3 10
40,178,0.9436333333333333,0.2823781967163086,0.0010403035557828844,0.002660383004695177,0.8505071726462645,1,1,0.1111111111111111,3 10
41,187,0.9407833333333333,0.25998201966285706,0.0009444248474513491,0.00030655122827738523,0.9707374561591324,9,9,1.0,8 3 1 6 7 5 4 9 2
42,193,0.9388833333333333,0.31512460112571716,0.00083586061373353,0.00048344553215429187,0.954836575529238,5,5,0.5555555555555556,3 6 4 2 9 10
43,200,0.9366666666666666,0.0465192049741745,0.0007276618437442396,0.001089450903236866,0.9112560826483295,6,6,0.6666666666666666,1 5 3 7 6 9 10
44,207,0.93445,-0.01590082049369812,0.0006599694523694259,0.0008631872478872538,0.9030915802160852,6,6,0.6666666666666666,3 5 9 2 6 7 10
45,210,0.9335,0.11270722001791,0.0005453798900513599,0.0008380303625017405,0.9270517878349556,2,2,0.2222222222222222,4 7 10
46,214,0.9322333333333334,-0.031025953590869904,0.0006017409614287317,0.0007056854665279388,0.9250000034249637,3,3,0.3333333333333333,5 8 7 10
47,217,0.9312833333333334,-0.02841988205909729,0.0006102879609291753,0.0012508246582001448,0.8675199781946492,2,2,0.2222222222222222,7 2 10
48,222,0.9297,-0.02648293972015381,0.00046152274007909,0.0012702213134616613,0.9001594486510144,4,4,0.4444444444444444,9 4 2 7 10
49,229,0.9274833333333333,-0.26453474164009094,0.0004602180519473872,0.00048629616503603756,0.9232313902284529,6,6,0.6666666666666666,7 9 5 8 6 2 10
50,237,0.92495,0.25452524423599243,0.0004996728639525827,0.001263198908418417,0.9011495804301198,7,7,0.7777777777777778,2 9 8 1 7 5 3 10
51,239,0.9243166666666667,0.034867461770772934,0.0005353063170332462,0.001735294354148209,0.8424229900375912,1,1,0.1111111111111111,7 10
52,243,0.92305,-0.03884296119213104,0.0004951339651597664,0.0009488707291893661,0.9086620210449562,3,3,0.3333333333333333,8 7 3 10
53,250,0.9208333333333334,0.24594882130622864,0.0004686700038811458,0.001165732741355896,0.9080270790139503,6,6,0.6666666666666666,4 6 9 1 8 5 10
54,252,0.9202,0.13916289806365967,0.005600125761702657,0.0008642302127555013,0.9040675496551852,1,1,0.1111111111111111,8 10
55,261,0.91735,-0.12282878160476685,0.0030862761842500833,0.0005752744036726654,0.9432690023277376,9,9,1.0,3 5 9 7 4 2 1 6 8
56,262,0.9170333333333334,0.0,0.0015703642275184393,0.0023183857556432486,0.8213479642675443,0,0,0.0,10
57,265,0.9160833333333334,-0.014870379120111465,0.0015214817055190604,0.002333194948732853,0.7669593695901095,2,2,0.2222222222222222,9 6 10
58,266,0.9157666666666666,0.0,0.0021114584524184465,0.0034315730445086956,0.7812166899541231,0,0,0.0,10
59,268,0.9151333333333334,0.11611946672201157,0.001676311600022018,0.002133503556251526,0.8446450100748775,1,1,0.1111111111111111,6 10
60,277,0.9122833333333333,0.4356330633163452,0.0012231323311829732,0.0008135872194543481,0.9508259517631265,8,8,0.8888888888888888,4 8 3 9 6 7 5 2 10
61,279,0.91165,-0.003833409398794174,0.0008141456346493214,0.002525178249925375,0.7230418738028683,1,1,0.1111111111111111,1 10
62,282,0.9107000000000001,0.2708561420440674,0.0009153167678353687,0.0016961117507889867,0.871295521006998,2,2,0.2222222222222222,1 5 10
63,288,0.9088,0.056852132081985474,0.0008186644699890167,0.0009029210777953267,0.9108114566445776,5,5,0.5555555555555556,6 3 5 2 8 10
64,291,0.90785,0.0023114532232284546,0.0008443773452502986,0.0010129950242117047,0.8894034834062585,2,2,0.2222222222222222,3 2 10
65,297,0.90595,0.017893582582473755,0.0006854407644520203,0.0010056649334728718,0.8953258390499635,5,5,0.5555555555555556,3 6 7 4 9 10
66,304,0.9037333333333334,-0.07611890137195587,0.0006237411705244865,0.00039413999184034765,0.9623780044484507,6,6,0.6666666666666666,8 5 7 1 4 6 10
67,306,0.9031,0.1314755082130432,0.0005841808742843568,0.0020075307693332434,0.850029904789576,1,1,0.1111111111111111,8 10
68,315,0.90025,-0.4626632332801819,0.000703544026085486,0.0010921033099293709,0.9330477082125143,9,9,1.0,4 8 3 9 1 6 5 7 2
69,322,0.8980333333333334,0.0511656254529953,0.0006647710023181779,0.0010854413267225027,0.9175514704974171,6,6,0.6666666666666666,4 1 8 3 2 7 10
70,327,0.89645,-0.09461630880832672,0.0006882221205160022,0.002258694963529706,0.7826594313901188,4,4,0.4444444444444444,2 9 5 6 10
