preference_id,preference_name,metric,metric_mean,metric_std
0.0,high_fidelity,mse,0.0007679685676703229,6.570449495251514e-05
0.0,high_fidelity,ssim,0.933370519774915,0.0069208109197972986
0.0,high_fidelity,edge_corr,0.9310200498050492,0.005617459367415011
0.0,high_fidelity,cost,0.5622222222222222,0.08447367914999206
0.0,high_fidelity,k_effective,5.06,0.7602631123499286
0.0,high_fidelity,hypervolume,0.712754,0.0767349019677487
1.0,mse_ssim_balance,mse,0.0008486495073884725,0.00010450999468889483
1.0,mse_ssim_balance,ssim,0.9277036635878753,0.010104676521236566
1.0,mse_ssim_balance,edge_corr,0.9262485731216165,0.007876747055058279
1.0,mse_ssim_balance,cost,0.3666666666666666,0.04581228472908514
1.0,mse_ssim_balance,k_effective,3.3,0.412310562561766
1.0,mse_ssim_balance,hypervolume,0.712754,0.0767349019677487
2.0,general_balance,mse,0.0011264193395618348,0.0002673213825417948
2.0,general_balance,ssim,0.907609248165657,0.01600571063708888
2.0,general_balance,edge_corr,0.9004221049994646,0.022372894685829155
2.0,general_balance,cost,0.2666666666666667,0.056108360768678193
2.0,general_balance,k_effective,2.4,0.5049752469181038
2.0,general_balance,hypervolume,0.712754,0.0767349019677487
3.0,compact,mse,0.0013913024961948396,0.0001577131089743374
3.0,compact,ssim,0.8890467654084354,0.010717832411049066
3.0,compact,edge_corr,0.8661240736690333,0.022115155866309237
3.0,compact,cost,0.20444444444444448,0.028974232912011788
3.0,compact,k_effective,1.8399999999999999,0.260768096208106
3.0,compact,hypervolume,0.712754,0.0767349019677487
4.0,very_compact,mse,0.0018229546200018375,0.0003096675792768244
4.0,very_compact,ssim,0.8590874678461903,0.02238498482982876
4.0,very_compact,edge_corr,0.8311490608894575,0.03211965261741189
4.0,very_compact,cost,0.13333333333333336,0.04969039949999533
4.0,very_compact,k_effective,1.2,0.4472135954999579
4.0,very_compact,hypervolume,0.712754,0.0767349019677487
