method,k_budget,mse_mean,mse_std,ssim_mean,ssim_std,edge_corr_mean,edge_corr_std,k_mean,k_effective_mean,cost_mean,obj_mse_mean,obj_ssim_mean,obj_cost_mean,obj_k_mean,n
Envelope-DQN,1,0.001765384606551379,0.0004575208435951157,0.8481818572670115,0.0438214816669673,0.8177226906236321,0.045483553807641214,1.0,1.0,0.11111111111111112,0.9982346153934486,0.8481818572670115,0.888888888888889,0.888888888888889,10
Envelope-DQN,2,0.0011899543062195573,0.0004209370078124984,0.8933133168218403,0.04119902713708992,0.8824815729409705,0.04162826777819665,2.0,2.0,0.22222222222222224,0.9988100456937804,0.8933133168218403,0.7777777777777778,0.7777777777777778,19
Envelope-DQN,3,0.0007251525110202945,0.00021410135943906018,0.9383384469069205,0.016598578712207858,0.9321024075401573,0.017797604468092355,3.0,3.0,0.3333333333333333,0.9992748474889797,0.9383384469069205,0.6666666666666667,0.6666666666666667,9
Envelope-DQN,4,0.001374743995256722,0.000422356038469574,0.8618247029188839,0.022473939575266576,0.8738278765821612,0.04013577608249038,4.0,4.0,0.4444444444444444,0.9986252560047433,0.8618247029188839,0.5555555555555556,0.5555555555555556,2
Envelope-DQN,6,0.000735041152802296,0.00038466556599441997,0.930768603214044,0.036706474674159814,0.927422449809657,0.03171126583665072,6.0,6.0,0.6666666666666666,0.9992649588471977,0.930768603214044,0.33333333333333337,0.33333333333333337,10
greedy,1,0.001725206384435296,0.0004823941526496432,0.856378220754823,0.047576898624650574,0.8131872593549991,0.04230959289039602,1.0,1.0,0.11111111111111112,0.9982747936155647,0.856378220754823,0.888888888888889,0.888888888888889,10
greedy,3,0.0008704085077624768,0.00038422592044251347,0.9206369462251379,0.038587567508631876,0.9142004011751135,0.033976145776405384,3.0,3.0,0.3333333333333333,0.9991295914922376,0.9206369462251379,0.6666666666666667,0.6666666666666667,10
greedy,5,0.0007345596415689215,0.0003836225038022043,0.9307387641127199,0.03717644630387072,0.9268628231888932,0.031374773687355785,5.0,5.0,0.5555555555555556,0.9992654403584311,0.9307387641127199,0.4444444444444445,0.4444444444444445,10
random,1,0.001961398620624095,0.0005024245888594021,0.8327935691935526,0.05134870179024896,0.7848506482842074,0.05232833772150259,1.0,1.0,0.1111111111111111,0.998038601379376,0.8327935691935526,0.8888888888888888,0.8888888888888888,200
random,3,0.0012379931568284519,0.0004418352013185899,0.8898549358167557,0.04178012594989456,0.8633482683215662,0.046206665668414235,3.0,3.0,0.33333333333333326,0.9987620068431715,0.8898549358167557,0.6666666666666667,0.6666666666666667,200
random,5,0.0009623206542164553,0.0004090332130735959,0.912229115596431,0.038560356095121456,0.8963225432243317,0.03960903008920307,5.0,5.0,0.5555555555555556,0.9990376793457836,0.912229115596431,0.4444444444444444,0.4444444444444444,200
top-k energy,1,0.001940214668866247,0.0005321259570696123,0.8298184805000343,0.05064488845511792,0.7658295108906087,0.050774655668013285,1.0,1.0,0.11111111111111112,0.9980597853311337,0.8298184805000343,0.888888888888889,0.888888888888889,10
top-k energy,3,0.001441696722758934,0.0005284444343304685,0.8712231657149958,0.05171096400057772,0.8114703176856125,0.05710565795168057,3.0,3.0,0.3333333333333333,0.998558303277241,0.8712231657149958,0.6666666666666667,0.6666666666666667,10
top-k energy,5,0.0012839321279898286,0.00046636189197574645,0.8876892619858209,0.046019394797050084,0.8382833140799735,0.04504637827960041,5.0,5.0,0.5555555555555556,0.9987160678720102,0.8876892619858209,0.4444444444444445,0.4444444444444445,10
