method,image_id,repeat,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,preference_id,preference_name,preference,actions
random,0,0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.001980005530640483,0.8233305125117444,0.7777237910444219,0.9980199944693595,0.8233305125117444,0.8888888888888888,0.8888888888888888,0 7,H00 H12,7,H12,,,,
random,0,1,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002229262376204133,0.7924616533651612,0.7374132670292768,0.9977707376237959,0.7924616533651612,0.8888888888888888,0.8888888888888888,0 9,H00 H30,9,H30,,,,
random,0,2,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0019948105327785015,0.8265588329695209,0.8039793850953574,0.9980051894672215,0.8265588329695209,0.8888888888888888,0.8888888888888888,0 8,H00 H21,8,H21,,,,
random,0,3,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0018720426596701145,0.8260503636526916,0.8014154802106902,0.9981279573403299,0.8260503636526916,0.8888888888888888,0.8888888888888888,0 5,H00 H20,5,H20,,,,
random,0,4,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002229262376204133,0.7924616533651612,0.7374132670292768,0.9977707376237959,0.7924616533651612,0.8888888888888888,0.8888888888888888,0 9,H00 H30,9,H30,,,,
random,0,5,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002229262376204133,0.7924616533651612,0.7374132670292768,0.9977707376237959,0.7924616533651612,0.8888888888888888,0.8888888888888888,0 9,H00 H30,9,H30,,,,
random,0,6,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002229262376204133,0.7924616533651612,0.7374132670292768,0.9977707376237959,0.7924616533651612,0.8888888888888888,0.8888888888888888,0 9,H00 H30,9,H30,,,,
random,0,7,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0019184492994099855,0.8307893772406618,0.7922844786183408,0.99808155070059,0.8307893772406618,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,,,
random,0,8,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0018720426596701145,0.8260503636526916,0.8014154802106902,0.9981279573403299,0.8260503636526916,0.8888888888888888,0.8888888888888888,0 5,H00 H20,5,H20,,,,
random,0,9,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002085879910737276,0.809738271086788,0.7945406562373076,0.9979141200892627,0.809738271086788,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,,,
random,0,10,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.001727041439153254,0.8342100819716768,0.8223746881167511,0.9982729585608467,0.8342100819716768,0.8888888888888888,0.8888888888888888,0 3,H00 H02,3,H02,,,,
random,0,11,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0018465451430529356,0.8491955669984381,0.8000755763322939,0.9981534548569471,0.8491955669984381,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,,,,
random,0,12,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002085879910737276,0.809738271086788,0.7945406562373076,0.9979141200892627,0.809738271086788,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,,,
random,0,13,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0019948105327785015,0.8265588329695209,0.8039793850953574,0.9980051894672215,0.8265588329695209,0.8888888888888888,0.8888888888888888,0 8,H00 H21,8,H21,,,,
random,0,14,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002085879910737276,0.809738271086788,0.7945406562373076,0.9979141200892627,0.809738271086788,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,,,
random,0,15,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0020333132706582546,0.8090718447803281,0.7425124946166082,0.9979666867293417,0.8090718447803281,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,,,
random,0,16,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.001980005530640483,0.8233305125117444,0.7777237910444219,0.9980199944693595,0.8233305125117444,0.8888888888888888,0.8888888888888888,0 7,H00 H12,7,H12,,,,
