method,n_solutions,n_pareto_global,n_pareto_by_method,hv_4d,hv_4d_method,hv_2d_quality_parsimony
Envelope-DQN,50,0,0,0.74692,monte_carlo,0.8488181434165204
greedy,30,0,0,0.74481,monte_carlo,0.8479212153452456
random,600,0,0,0.74303,monte_carlo,0.8453200361438559
top-k energy,30,0,0,0.71897,monte_carlo,0.817878459494973
GLOBAL,710,0,0,0.74912,monte_carlo,0.8507887878223775
