episode,seed,hermite_config,sigma,kernel_size,max_order,global_step,epsilon,scalar_return,loss,mse,ssim,k,paid_k,total_k,cost,actions
1,0,sigma_1p0__kernel_9__order_3,1.0,9,3,5,0.9984166666666666,0.033009640872478485,,0.0003079489979427308,0.953869231638812,4,4,5,0.0,6 3 2 9 10
2,0,sigma_1p0__kernel_9__order_3,1.0,9,3,12,0.9962,0.11057095229625702,,0.00023044436238706112,0.9725665966232665,6,6,7,0.0,8 3 9 5 1 2 10
3,0,sigma_1p0__kernel_9__order_3,1.0,9,3,18,0.9943,0.24710166454315186,,0.0003435378603171557,0.974225920389155,5,5,6,0.0,5 4 1 8 9 10
4,0,sigma_1p0__kernel_9__order_3,1.0,9,3,20,0.9936666666666667,0.3831726908683777,,0.0007019987679086626,0.9483417614355382,1,1,2,0.0,4 10
5,0,sigma_1p0__kernel_9__order_3,1.0,9,3,27,0.99145,0.45245832204818726,,0.0002722398203331977,0.9707977223552223,6,6,7,0.0,7 9 2 4 3 1 10
6,0,sigma_1p0__kernel_9__order_3,1.0,9,3,35,0.9889166666666667,0.5158431529998779,,0.0004269754863344133,0.9617245871480665,7,7,8,0.0,3 4 9 5 8 7 2 10
7,0,sigma_1p0__kernel_9__order_3,1.0,9,3,42,0.9867,0.4387747645378113,,0.0005295109003782272,0.9346912311883943,6,6,7,0.0,1 2 9 6 8 3 10
8,0,sigma_1p0__kernel_9__order_3,1.0,9,3,44,0.9860666666666666,0.2581811249256134,,0.0009170369594357908,0.9049003019477113,1,1,2,0.0,1 10
9,0,sigma_1p0__kernel_9__order_3,1.0,9,3,49,0.9844833333333334,0.5652872323989868,,0.00018869948689825833,0.9796112693766493,4,4,5,0.0,7 1 4 9 10
10,0,sigma_1p0__kernel_9__order_3,1.0,9,3,53,0.9832166666666666,0.10543712973594666,,0.0002666090149432421,0.976796526404255,3,3,4,0.0,2 6 4 10
11,0,sigma_1p0__kernel_9__order_3,1.0,9,3,61,0.9806833333333334,0.059386298060417175,,0.0002905207802541554,0.968341646186662,7,7,8,0.0,9 7 2 8 6 5 1 10
12,0,sigma_1p0__kernel_9__order_3,1.0,9,3,68,0.9784666666666667,-0.036035649478435516,,0.0006560661713592708,0.9383863473264555,6,6,7,0.0,9 1 6 4 2 5 10
13,0,sigma_1p0__kernel_9__order_3,1.0,9,3,77,0.9756166666666667,0.19252000749111176,,0.00016546592814847827,0.9864817128985164,9,9,10,0.0,9 8 4 5 7 1 6 2 3
14,0,sigma_1p0__kernel_9__order_3,1.0,9,3,86,0.9727666666666667,0.08275777101516724,,0.000257822684943676,0.9806627572893954,8,8,9,0.0,8 3 1 7 5 2 9 4 10
15,0,sigma_1p0__kernel_9__order_3,1.0,9,3,94,0.9702333333333333,-0.04667383432388306,,0.0005110371275804937,0.9542949945443309,7,7,8,0.0,8 3 9 7 4 5 6 10
16,0,sigma_1p0__kernel_9__order_3,1.0,9,3,100,0.9683333333333334,0.09852588176727295,,0.0006985949585214257,0.9511884605416787,5,5,6,0.0,3 7 9 4 6 10
17,0,sigma_1p0__kernel_9__order_3,1.0,9,3,106,0.9664333333333334,0.12171554565429688,,0.00030961184529587626,0.9677144942825104,5,5,6,0.0,2 1 5 8 7 10
18,0,sigma_1p0__kernel_9__order_3,1.0,9,3,110,0.9651666666666666,0.25959858298301697,,0.00037296483060345054,0.9698117666132526,3,3,4,0.0,5 1 4 10
19,0,sigma_1p0__kernel_9__order_3,1.0,9,3,112,0.9645333333333334,0.16038738191127777,,0.0010426510125398636,0.9284661907822284,1,1,2,0.0,5 10
20,0,sigma_1p0__kernel_9__order_3,1.0,9,3,120,0.962,-0.02660154551267624,,0.0003903546021319926,0.9682353861833725,7,7,8,0.0,3 2 7 6 1 4 8 10
21,0,sigma_1p0__kernel_9__order_3,1.0,9,3,121,0.9616833333333333,0.0,,0.001669246586970985,0.8368215547358522,0,0,1,0.0,10
22,0,sigma_1p0__kernel_9__order_3,1.0,9,3,129,0.95915,-0.03281436860561371,0.01489347591996193,0.00020433755707927048,0.9817304394510215,7,7,8,0.0,8 6 2 9 3 5 7 10
23,0,sigma_1p0__kernel_9__order_3,1.0,9,3,132,0.9582,0.12168100476264954,0.012796111404895782,0.0008093991782516241,0.9301406930817577,2,2,3,0.0,6 5 10
24,0,sigma_1p0__kernel_9__order_3,1.0,9,3,141,0.95535,0.5732082724571228,0.007982623608162006,0.00023475001216866076,0.9743807191443358,8,8,9,0.0,6 5 9 8 2 7 4 3 10
25,0,sigma_1p0__kernel_9__order_3,1.0,9,3,149,0.9528166666666666,0.42414209246635437,0.004181938886176795,0.0002746284008026123,0.9682068996990761,7,7,8,0.0,5 8 4 2 1 6 7 10
26,0,sigma_1p0__kernel_9__order_3,1.0,9,3,150,0.9525,0.0,0.0047454372979700565,0.0007940625073388219,0.8700849804207771,0,0,1,0.0,10
27,0,sigma_1p0__kernel_9__order_3,1.0,9,3,153,0.95155,0.26079660654067993,0.003517910372465849,0.0005882428376935422,0.9562205356345307,2,2,3,0.0,2 1 10
28,0,sigma_1p0__kernel_9__order_3,1.0,9,3,161,0.9490166666666666,0.5108432173728943,0.0025404280313523486,0.0004372203256934881,0.9607721325120802,7,7,8,0.0,5 4 3 9 7 1 8 10
29,0,sigma_1p0__kernel_9__order_3,1.0,9,3,170,0.9461666666666667,0.087516188621521,0.0017533183046099213,0.0003220284706912935,0.9778711696583933,8,8,9,0.0,8 5 3 7 4 9 6 2 10
30,0,sigma_1p0__kernel_9__order_3,1.0,9,3,172,0.9455333333333333,0.13508495688438416,0.0014482296537607908,0.0011563276639208198,0.9126515482041838,1,1,2,0.0,7 10
31,0,sigma_1p0__kernel_9__order_3,1.0,9,3,181,0.9426833333333333,-0.06318272650241852,0.0015194309720148642,0.0002384680265095085,0.9706001440140637,8,8,9,0.0,1 5 9 7 8 3 4 6 10
32,0,sigma_1p0__kernel_9__order_3,1.0,9,3,190,0.9398333333333333,0.6053004860877991,0.001289055462823146,9.06596178538166e-05,0.9890231366638055,9,9,10,0.0,2 5 8 4 9 3 1 7 6
33,0,sigma_1p0__kernel_9__order_3,1.0,9,3,193,0.9388833333333333,0.3201247453689575,0.0011605762410908937,0.0008122450090013444,0.8952491941477541,2,2,3,0.0,5 6 10
34,0,sigma_1p0__kernel_9__order_3,1.0,9,3,198,0.9373,0.04586280137300491,0.0010070934775285422,0.0002858791849575937,0.9613905492882099,4,4,5,0.0,2 8 6 5 10
35,0,sigma_1p0__kernel_9__order_3,1.0,9,3,203,0.9357166666666666,0.5886210203170776,0.0008988249930553139,0.000285005517071113,0.9692015568509822,4,4,5,0.0,1 7 5 4 10
36,0,sigma_1p0__kernel_9__order_3,1.0,9,3,205,0.9350833333333334,0.10096599161624908,0.0009513690893072635,0.0008777726325206459,0.92831983291915,1,1,2,0.0,6 10
37,0,sigma_1p0__kernel_9__order_3,1.0,9,3,211,0.9331833333333334,0.4655804932117462,0.0008564530192719152,0.0005007759900763631,0.9380072457151095,5,5,6,0.0,2 8 9 5 4 10
