method,image_id,repeat,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,preference_id,preference_name,preference,actions
random,0,0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0031633139587938786,0.8407874248908582,0.8096343925424644,0.9968366860412061,0.8407874248908582,0.8888888888888888,0.8888888888888888,0 8,H00 H21,8,H21,,,,
random,0,1,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0023000084329396486,0.8587107021753608,0.8471904217768691,0.9976999915670604,0.8587107021753608,0.8888888888888888,0.8888888888888888,0 3,H00 H02,3,H02,,,,
random,0,2,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0032738824374973774,0.8568543277317647,0.7677018990151248,0.9967261175625026,0.8568543277317647,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,,,
random,0,3,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0023000084329396486,0.8587107021753608,0.8471904217768691,0.9976999915670604,0.8587107021753608,0.8888888888888888,0.8888888888888888,0 3,H00 H02,3,H02,,,,
random,0,4,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.003190188203006983,0.861590741479085,0.7901250363946927,0.996809811796993,0.861590741479085,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,,,,
random,0,5,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0031633139587938786,0.8407874248908582,0.8096343925424644,0.9968366860412061,0.8407874248908582,0.8888888888888888,0.8888888888888888,0 8,H00 H21,8,H21,,,,
random,0,6,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002045938279479742,0.8512772589470132,0.8990523831870754,0.9979540617205203,0.8512772589470132,0.8888888888888888,0.8888888888888888,0 5,H00 H20,5,H20,,,,
random,0,7,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0032738824374973774,0.8568543277317647,0.7677018990151248,0.9967261175625026,0.8568543277317647,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,,,
random,0,8,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.003190188203006983,0.861590741479085,0.7901250363946927,0.996809811796993,0.861590741479085,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,,,,
random,0,9,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0038034715689718723,0.8369999352383553,0.7392766346893126,0.9961965284310281,0.8369999352383553,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,,,
random,0,10,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0031633139587938786,0.8407874248908582,0.8096343925424644,0.9968366860412061,0.8407874248908582,0.8888888888888888,0.8888888888888888,0 8,H00 H21,8,H21,,,,
random,0,11,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0026048975996673107,0.8629003357004893,0.8516333083571713,0.9973951024003327,0.8629003357004893,0.8888888888888888,0.8888888888888888,0 7,H00 H12,7,H12,,,,
random,0,12,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0030821561813354492,0.8220811658300787,0.8287007868174681,0.9969178438186646,0.8220811658300787,0.8888888888888888,0.8888888888888888,0 9,H00 H30,9,H30,,,,
random,0,13,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002505419310182333,0.871336864261012,0.8319563093994995,0.9974945806898177,0.871336864261012,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,,,
random,0,14,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0031633139587938786,0.8407874248908582,0.8096343925424644,0.9968366860412061,0.8407874248908582,0.8888888888888888,0.8888888888888888,0 8,H00 H21,8,H21,,,,
random,0,15,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0032738824374973774,0.8568543277317647,0.7677018990151248,0.9967261175625026,0.8568543277317647,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,,,
random,0,16,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0038034715689718723,0.8369999352383553,0.7392766346893126,0.9961965284310281,0.8369999352383553,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,,,
random,0,17,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0023000084329396486,0.8587107021753608,0.8471904217768691,0.9976999915670604,0.8587107021753608,0.8888888888888888,0.8888888888888888,0 3,H00 H02,3,H02,,,,
random,0,18,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002505419310182333,0.871336864261012,0.8319563093994995,0.9974945806898177,0.871336864261012,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,,,
random,0,19,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0038034715689718723,0.8369999352383553,0.7392766346893126,0.9961965284310281,0.8369999352383553,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,,,
random,0,0,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.001190686714835465,0.9171273415370021,0.930059865205162,0.9988093132851645,0.9171273415370021,0.6666666666666667,0.6666666666666667,0 3 5 9,H00 H02 H20 H30,3 5 9,H02 H20 H30,,,,
random,0,1,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0019464704673737288,0.9085893293712001,0.8730425758791897,0.9980535295326263,0.9085893293712001,0.6666666666666667,0.6666666666666667,0 4 6 7,H00 H11 H03 H12,4 6 7,H11 H03 H12,,,,
