method,k_budget,mse_mean,mse_std,ssim_mean,ssim_std,edge_corr_mean,edge_corr_std,k_mean,k_effective_mean,cost_mean,obj_mse_mean,obj_ssim_mean,obj_cost_mean,obj_k_mean,n
Envelope-DQN,2,0.0013063282046156626,0.0005479751645684523,0.895983416020539,0.02637316510265272,0.8883120594048491,0.03181698445476298,2.0,2.0,0.2222222222222222,0.9986936717953844,0.895983416020539,0.7777777777777778,0.7777777777777778,30
Envelope-DQN,3,0.0008823344542179257,0.0004344331941111075,0.9262170267817382,0.02596060350425826,0.9269654145774332,0.027445194876907657,3.0,3.0,0.3333333333333333,0.9991176655457821,0.9262170267817382,0.6666666666666667,0.6666666666666667,10
Envelope-DQN,5,0.0007524687564000488,0.00041442070723754867,0.9366422874226228,0.025675106600030757,0.9332425126964476,0.026084570694986844,5.0,5.0,0.5555555555555556,0.9992475312436,0.9366422874226228,0.4444444444444445,0.4444444444444445,10
greedy,1,0.0019158325507305563,0.0008073744961681972,0.8569097754033199,0.036417159175491286,0.8279446653742729,0.04305946919667348,1.0,1.0,0.11111111111111112,0.9980841674492694,0.8569097754033199,0.888888888888889,0.888888888888889,10
greedy,3,0.0009513116092421114,0.0005683578328223617,0.9234444183174395,0.030255437120568014,0.9187743151617026,0.04331014114137195,3.0,3.0,0.3333333333333333,0.9990486883907579,0.9234444183174395,0.6666666666666667,0.6666666666666667,10
greedy,5,0.000757971394341439,0.00041992118440986695,0.9362093610611526,0.026221690520262977,0.9328439558151371,0.026683729265903844,5.0,5.0,0.5555555555555556,0.9992420286056586,0.9362093610611526,0.4444444444444445,0.4444444444444445,10
random,1,0.0022173156146891417,0.0009726998082542351,0.8348648801633114,0.04206598961161009,0.7948582242989495,0.05471390833774092,1.0,1.0,0.1111111111111111,0.9977826843853108,0.8348648801633114,0.8888888888888888,0.8888888888888888,200
random,3,0.0013461190366069785,0.000638056112327112,0.8915683208328518,0.03377547825619563,0.8725234829743748,0.04325732453332499,3.0,3.0,0.33333333333333326,0.998653880963393,0.8915683208328518,0.6666666666666667,0.6666666666666667,200
random,5,0.0010270234626659658,0.0005025935124982492,0.9156114877473293,0.02797982609319722,0.9036329217736032,0.03338059730957513,5.0,5.0,0.5555555555555556,0.9989729765373341,0.9156114877473293,0.4444444444444444,0.4444444444444444,200
top-k energy,1,0.0020566843450069427,0.0008389875423257729,0.8372249374977716,0.04267090099048885,0.794150170863861,0.051070727165751985,1.0,1.0,0.11111111111111112,0.9979433156549931,0.8372249374977716,0.888888888888889,0.888888888888889,10
top-k energy,3,0.0016437762766145169,0.0007350931707202563,0.8689161237922811,0.03748581168071305,0.8237795492447452,0.03520994660577269,3.0,3.0,0.3333333333333333,0.9983562237233855,0.8689161237922811,0.6666666666666667,0.6666666666666667,10
top-k energy,5,0.0014110884396359325,0.0006785929209982773,0.8904201455903765,0.033166899464910034,0.8516248336991235,0.03616913666460487,5.0,5.0,0.5555555555555556,0.9985889115603641,0.8904201455903765,0.4444444444444445,0.4444444444444445,10
