method,n_solutions,n_pareto_global,n_pareto_by_method,hv_4d,hv_4d_method,hv_2d_quality_parsimony
Envelope-DQN,50,0,0,0.57585,monte_carlo,0.7453109603869835
greedy,30,0,0,0.73528,monte_carlo,0.8406745080317731
random,600,0,0,0.73492,monte_carlo,0.8399066330793905
top-k energy,30,0,0,0.71706,monte_carlo,0.8152862919858966
GLOBAL,710,0,0,0.74065,monte_carlo,0.844453914576524
