method,k_budget,mse_mean,mse_std,ssim_mean,ssim_std,edge_corr_mean,edge_corr_std,k_mean,k_effective_mean,cost_mean,obj_mse_mean,obj_ssim_mean,obj_cost_mean,obj_k_mean,n
Envelope-DQN,1,0.0019770120367563018,0.00048798662752608783,0.8326358138272375,0.03827127467467839,0.7971274584033395,0.04802226182387962,1.0,1.0,0.1111111111111111,0.9980229879632437,0.8326358138272375,0.8888888888888888,0.8888888888888888,12
Envelope-DQN,2,0.0012806275626644492,0.00025881834084774663,0.8943279340841633,0.016607990701428762,0.8631602502342844,0.036628106499335275,2.0,2.0,0.2222222222222222,0.9987193724373356,0.8943279340841633,0.7777777777777778,0.7777777777777778,8
Envelope-DQN,3,0.0009102565527427942,0.0001708310977940823,0.9149987441189721,0.027962008353484863,0.9186343791820761,0.025952955266020605,3.0,3.0,0.3333333333333333,0.9990897434472572,0.9149987441189721,0.6666666666666667,0.6666666666666667,20
Envelope-DQN,5,0.0008140130084939301,0.00014203864794407042,0.93083884307448,0.013183723709363852,0.9312700420081137,0.016058457046225466,5.0,5.0,0.5555555555555556,0.9991859869915061,0.93083884307448,0.4444444444444444,0.4444444444444444,4
Envelope-DQN,6,0.0008250121997358898,0.00022161628860491118,0.9168558634442561,0.032841054520662556,0.9186942043714158,0.026365266531587283,6.0,6.0,0.6666666666666666,0.9991749878002641,0.9168558634442561,0.3333333333333333,0.3333333333333333,6
greedy,1,0.0018025587312877178,0.00033027188622970755,0.8486524069701696,0.03711681548315809,0.8172963651163773,0.03904825576339712,1.0,1.0,0.11111111111111112,0.9981974412687122,0.8486524069701696,0.888888888888889,0.888888888888889,10
greedy,3,0.0009454709128476679,0.00018273698473041027,0.9126670871306473,0.02937551513497936,0.9126600530779282,0.025927428852348482,3.0,3.0,0.3333333333333333,0.9990545290871523,0.9126670871306473,0.6666666666666667,0.6666666666666667,10
greedy,5,0.000794153701281175,0.0001829018820231321,0.9244289244836313,0.028159351408268238,0.9261803275420386,0.023512485367137043,5.0,5.0,0.5555555555555556,0.9992058462987188,0.9244289244836313,0.4444444444444445,0.4444444444444445,10
random,1,0.0021267249702941627,0.00045820929145883385,0.8206899128784488,0.03992077679383289,0.7810909266383361,0.0532620928126638,1.0,1.0,0.1111111111111111,0.9978732750297058,0.8206899128784488,0.8888888888888888,0.8888888888888888,200
random,3,0.0013294456325820647,0.00031714968969385094,0.8807154830096843,0.036002553284857144,0.8635435454147088,0.04101127952409946,3.0,3.0,0.33333333333333326,0.9986705543674179,0.8807154830096843,0.6666666666666667,0.6666666666666667,200
random,5,0.0010591428546467797,0.0002533532424760839,0.9034594474180284,0.029104898139651274,0.8938903583587803,0.03412225729220546,5.0,5.0,0.5555555555555556,0.9989408571453532,0.9034594474180284,0.4444444444444444,0.4444444444444444,200
top-k energy,1,0.00194460452767089,0.0003518636348742135,0.8281965328691092,0.0430214018402089,0.7803865698961907,0.041476692811384566,1.0,1.0,0.11111111111111112,0.9980553954723291,0.8281965328691092,0.888888888888889,0.888888888888889,10
top-k energy,3,0.0015771411941386758,0.00034289751732188807,0.8601464663191469,0.04703877650533494,0.8116527506180159,0.04392621612072204,3.0,3.0,0.3333333333333333,0.9984228588058613,0.8601464663191469,0.6666666666666667,0.6666666666666667,10
top-k energy,5,0.0014042611815966665,0.00027978144674252475,0.8776349713060203,0.036636946027811805,0.8383110392842257,0.03617972261454075,5.0,5.0,0.5555555555555556,0.9985957388184034,0.8776349713060203,0.4444444444444445,0.4444444444444445,10
