method,image_id,repeat,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,preference_id,preference_name,preference,actions
random,0,0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.00139342388138175,0.859390801892978,0.8071723835312289,0.9986065761186182,0.859390801892978,0.8888888888888888,0.8888888888888888,0 8,H00 H21,8,H21,,,,
random,0,1,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0013500030618160963,0.8538485623488599,0.7718255013753809,0.9986499969381839,0.8538485623488599,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,,,
random,0,2,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0013097102055326104,0.858990595801141,0.772151728277313,0.9986902897944674,0.858990595801141,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,,,
random,0,3,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0012686650734394789,0.8618702577265349,0.8013060196825826,0.9987313349265605,0.8618702577265349,0.8888888888888888,0.8888888888888888,0 3,H00 H02,3,H02,,,,
random,0,4,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0013097102055326104,0.858990595801141,0.772151728277313,0.9986902897944674,0.858990595801141,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,,,
random,0,5,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.00139342388138175,0.859390801892978,0.8071723835312289,0.9986065761186182,0.859390801892978,0.8888888888888888,0.8888888888888888,0 8,H00 H21,8,H21,,,,
random,0,6,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.00139342388138175,0.859390801892978,0.8071723835312289,0.9986065761186182,0.859390801892978,0.8888888888888888,0.8888888888888888,0 8,H00 H21,8,H21,,,,
random,0,7,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0016078795306384563,0.8251462621873469,0.742230319479797,0.9983921204693615,0.8251462621873469,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,,,
random,0,8,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0013500030618160963,0.8538485623488599,0.7718255013753809,0.9986499969381839,0.8538485623488599,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,,,
random,0,9,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0013500030618160963,0.8538485623488599,0.7718255013753809,0.9986499969381839,0.8538485623488599,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,,,
random,0,10,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0012686650734394789,0.8618702577265349,0.8013060196825826,0.9987313349265605,0.8618702577265349,0.8888888888888888,0.8888888888888888,0 3,H00 H02,3,H02,,,,
random,0,11,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0011978161055594683,0.8766530596791776,0.8163550715430379,0.9988021838944405,0.8766530596791776,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,,,,
random,0,12,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0016078795306384563,0.8251462621873469,0.742230319479797,0.9983921204693615,0.8251462621873469,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,,,
random,0,13,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.001269235392101109,0.8708982327321764,0.81743051555029,0.9987307646078989,0.8708982327321764,0.8888888888888888,0.8888888888888888,0 5,H00 H20,5,H20,,,,
random,0,14,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0012686650734394789,0.8618702577265349,0.8013060196825826,0.9987313349265605,0.8618702577265349,0.8888888888888888,0.8888888888888888,0 3,H00 H02,3,H02,,,,
