method,k_budget,mse_mean,mse_std,ssim_mean,ssim_std,edge_corr_mean,edge_corr_std,k_mean,k_effective_mean,cost_mean,obj_mse_mean,obj_ssim_mean,obj_cost_mean,obj_k_mean,n
Envelope-DQN,1,0.0017736197551130317,0.0007318066371392427,0.8663992282646078,0.027633591406015352,0.8143908909712986,0.04366149140435095,1.0,1.0,0.1111111111111111,0.998226380244887,0.8663992282646078,0.8888888888888888,0.8888888888888888,16
Envelope-DQN,2,0.0012468054192140698,0.0005886720573131431,0.9149440957744929,0.022678863153294652,0.8957465568659986,0.021590903532529886,2.0,2.0,0.22222222222222224,0.9987531945807859,0.9149440957744929,0.7777777777777778,0.7777777777777778,5
Envelope-DQN,3,0.0007745430318339329,0.00030726221504863866,0.9350682169044587,0.015537645772236267,0.9329361290424167,0.017302981238762283,3.0,3.0,0.3333333333333333,0.9992254569681661,0.9350682169044587,0.6666666666666667,0.6666666666666667,14
Envelope-DQN,4,0.0006789631176313075,0.00018559862349888523,0.9397446330713519,0.016358806811527855,0.9385036286448104,0.010808399861266953,4.0,4.0,0.4444444444444444,0.9993210368823687,0.9397446330713519,0.5555555555555556,0.5555555555555556,12
Envelope-DQN,5,0.0006182265351526439,,0.9304230107209345,,0.9230677463818463,,5.0,5.0,0.5555555555555556,0.9993817734648474,0.9304230107209345,0.4444444444444444,0.4444444444444444,1
Envelope-DQN,6,0.0004176966322120279,,0.9534526328588354,,0.9332341977200806,,6.0,6.0,0.6666666666666666,0.999582303367788,0.9534526328588354,0.33333333333333337,0.33333333333333337,1
Envelope-DQN,7,0.0010291074868291616,,0.9386559858227173,,0.940965828163948,,7.0,7.0,0.7777777777777778,0.9989708925131708,0.9386559858227173,0.2222222222222222,0.2222222222222222,1
greedy,1,0.0016785379499197005,0.0005959502592296196,0.8689898300712194,0.025325654159522915,0.8292547020502283,0.031047827779284498,1.0,1.0,0.11111111111111112,0.9983214620500803,0.8689898300712194,0.888888888888889,0.888888888888889,10
greedy,3,0.000801328249508515,0.0002518332949117045,0.932884960120165,0.017473528271487605,0.9232869023308625,0.02549490104573409,3.0,3.0,0.3333333333333333,0.9991986717504915,0.932884960120165,0.6666666666666667,0.6666666666666667,10
greedy,5,0.000615546468179673,0.00019396765962166327,0.944849538052727,0.015097000147007484,0.9414293158321287,0.011791053306556132,5.0,5.0,0.5555555555555556,0.9993844535318204,0.944849538052727,0.4444444444444445,0.4444444444444445,10
random,1,0.00199869554664474,0.0008213792630340553,0.8460237037164233,0.03001172646222955,0.803050756304186,0.043589526536430605,1.0,1.0,0.1111111111111111,0.9980013044533552,0.8460237037164233,0.8888888888888888,0.8888888888888888,200
random,3,0.0011955700992257335,0.0005042643632272495,0.9022133894335955,0.025632993738283955,0.8802628231440046,0.03549351850585017,3.0,3.0,0.33333333333333326,0.9988044299007742,0.9022133894335955,0.6666666666666667,0.6666666666666667,200
random,5,0.0008810256533615757,0.00035393392648251453,0.9253102711259306,0.01811403585986817,0.9112423329580495,0.024585046375213932,5.0,5.0,0.5555555555555556,0.9991189743466384,0.9253102711259306,0.4444444444444444,0.4444444444444444,200
top-k energy,1,0.0019916201941668986,0.000862995908342648,0.8466608748469762,0.024827377548239524,0.7879237032539205,0.027670730185694773,1.0,1.0,0.11111111111111112,0.9980083798058331,0.8466608748469762,0.888888888888889,0.888888888888889,10
top-k energy,3,0.0014536749571561814,0.000564412415484166,0.8828301978946467,0.026921375692344707,0.8279757464334173,0.024331961099531604,3.0,3.0,0.3333333333333333,0.9985463250428438,0.8828301978946467,0.6666666666666667,0.6666666666666667,10
top-k energy,5,0.001272323087323457,0.0005309741539168471,0.9007654962540735,0.022741074263731134,0.8519089219775322,0.022075675884909583,5.0,5.0,0.5555555555555556,0.9987276769126765,0.9007654962540735,0.4444444444444445,0.4444444444444445,10
