episode,seed,hermite_config,sigma,kernel_size,max_order,global_step,epsilon,scalar_return,loss,mse,ssim,k,paid_k,total_k,cost,actions
1,2,sigma_1p0__kernel_9__order_2,1.0,9,2,5,0.9984166666666666,-0.02150745689868927,,0.00040709591121412814,0.9734295645062053,4,4,5,0.0,1 3 4 5 6
2,2,sigma_1p0__kernel_9__order_2,1.0,9,2,9,0.99715,0.43662169575691223,,0.0004287788178771734,0.963894738666226,3,3,4,0.0,1 3 5 6
3,2,sigma_1p0__kernel_9__order_2,1.0,9,2,11,0.9965166666666667,0.33713507652282715,,0.0010830007959157228,0.9220887068371143,1,1,2,0.0,5 6
4,2,sigma_1p0__kernel_9__order_2,1.0,9,2,12,0.9962,0.0,,0.0011222397442907095,0.8815270427716331,0,0,1,0.0,6
5,2,sigma_1p0__kernel_9__order_2,1.0,9,2,16,0.9949333333333333,0.19362205266952515,,0.00013694449444301426,0.9733694911747285,3,3,4,0.0,1 2 5 6
6,2,sigma_1p0__kernel_9__order_2,1.0,9,2,17,0.9946166666666667,0.0,,0.0019371160306036472,0.8608352722739635,0,0,1,0.0,6
7,2,sigma_1p0__kernel_9__order_2,1.0,9,2,18,0.9943,0.0,,0.0007771444506943226,0.9101375993274764,0,0,1,0.0,6
8,2,sigma_1p0__kernel_9__order_2,1.0,9,2,22,0.9930333333333333,0.43315067887306213,,0.0006222881493158638,0.9399211942157337,3,3,4,0.0,5 1 3 6
9,2,sigma_1p0__kernel_9__order_2,1.0,9,2,25,0.9920833333333333,0.3578472137451172,,0.0003450324875302613,0.9713003191738151,2,2,3,0.0,4 5 6
10,2,sigma_1p0__kernel_9__order_2,1.0,9,2,28,0.9911333333333333,0.16715867817401886,,0.00019341227016411722,0.9721222965846306,2,2,3,0.0,4 3 6
11,2,sigma_1p0__kernel_9__order_2,1.0,9,2,31,0.9901833333333333,0.06591310352087021,,0.0006219047354534268,0.9573878541535628,2,2,3,0.0,3 4 6
12,2,sigma_1p0__kernel_9__order_2,1.0,9,2,36,0.9886,0.05612495541572571,,0.00038901049993000925,0.9585467889178522,4,4,5,0.0,4 3 1 2 6
13,2,sigma_1p0__kernel_9__order_2,1.0,9,2,38,0.9879666666666667,0.05192685127258301,,0.0005161717999726534,0.9203474802650538,1,1,2,0.0,5 6
14,2,sigma_1p0__kernel_9__order_2,1.0,9,2,43,0.9863833333333334,0.5916242599487305,,0.0002711522101890296,0.9798690636291232,5,5,6,0.0,5 3 2 1 4
15,2,sigma_1p0__kernel_9__order_2,1.0,9,2,48,0.9848,-0.02552768588066101,,0.00017749413382261992,0.9803130662646787,4,4,5,0.0,1 3 4 5 6
16,2,sigma_1p0__kernel_9__order_2,1.0,9,2,52,0.9835333333333334,0.4773240089416504,,0.0005454885540530086,0.948655255643848,3,3,4,0.0,1 4 5 6
17,2,sigma_1p0__kernel_9__order_2,1.0,9,2,53,0.9832166666666666,0.0,,0.0015070094959810376,0.8746289871278685,0,0,1,0.0,6
18,2,sigma_1p0__kernel_9__order_2,1.0,9,2,56,0.9822666666666666,0.43347465991973877,,0.0005374611937440932,0.9590416310906552,2,2,3,0.0,4 3 6
19,2,sigma_1p0__kernel_9__order_2,1.0,9,2,61,0.9806833333333334,0.396163672208786,,0.0003885505720973015,0.9628183320784824,5,5,6,0.0,1 3 5 2 4
20,2,sigma_1p0__kernel_9__order_2,1.0,9,2,64,0.9797333333333333,0.06407332420349121,,0.0009653157321736217,0.9220495399411028,2,2,3,0.0,2 3 6
21,2,sigma_1p0__kernel_9__order_2,1.0,9,2,66,0.9791,0.2609127163887024,,0.0014804382808506489,0.8922046630883613,1,1,2,0.0,3 6
22,2,sigma_1p0__kernel_9__order_2,1.0,9,2,70,0.9778333333333333,0.19885987043380737,,0.000422394135966897,0.9593454144549568,3,3,4,0.0,1 5 3 6
23,2,sigma_1p0__kernel_9__order_2,1.0,9,2,71,0.9775166666666667,0.0,,0.0018152908887714148,0.8606848751552465,0,0,1,0.0,6
24,2,sigma_1p0__kernel_9__order_2,1.0,9,2,76,0.9759333333333333,0.49526283144950867,,0.00047905812971293926,0.9483566799961854,5,5,6,0.0,5 2 4 1 3
25,2,sigma_1p0__kernel_9__order_2,1.0,9,2,79,0.9749833333333333,0.10130678862333298,,0.0006994232535362244,0.9310643175676659,2,2,3,0.0,5 2 6
26,2,sigma_1p0__kernel_9__order_2,1.0,9,2,81,0.97435,0.13535171747207642,,0.0010684665758162737,0.8993923663384282,1,1,2,0.0,5 6
27,2,sigma_1p0__kernel_9__order_2,1.0,9,2,85,0.9730833333333333,0.11843372881412506,,0.0002939399564638734,0.9749530455126348,3,3,4,0.0,1 2 4 6
28,2,sigma_1p0__kernel_9__order_2,1.0,9,2,90,0.9715,0.06946060061454773,,0.0004032488795928657,0.9671964041188837,4,4,5,0.0,5 3 1 4 6
29,2,sigma_1p0__kernel_9__order_2,1.0,9,2,95,0.9699166666666666,-0.12054643779993057,,0.00044957699719816446,0.9575603526178637,5,5,6,0.0,1 2 5 4 3
30,2,sigma_1p0__kernel_9__order_2,1.0,9,2,97,0.9692833333333334,0.11011511087417603,,0.000389760360121727,0.9546612709069648,1,1,2,0.0,1 6
31,2,sigma_1p0__kernel_9__order_2,1.0,9,2,102,0.9677,0.3750649094581604,,0.000523696537129581,0.9509539857028355,4,4,5,0.0,3 2 5 1 6
32,2,sigma_1p0__kernel_9__order_2,1.0,9,2,106,0.9664333333333334,0.07020505517721176,,0.001094419159926474,0.9044632583892019,3,3,4,0.0,2 3 5 6
33,2,sigma_1p0__kernel_9__order_2,1.0,9,2,109,0.9654833333333334,0.013465724885463715,,0.0009237496415153146,0.9107504974116043,2,2,3,0.0,4 2 6
34,2,sigma_1p0__kernel_9__order_2,1.0,9,2,110,0.9651666666666666,0.0,,0.002171087544411421,0.7374905248734033,0,0,1,0.0,6
35,2,sigma_1p0__kernel_9__order_2,1.0,9,2,112,0.9645333333333334,0.04786231368780136,,0.0008156645344570279,0.9061552358261895,1,1,2,0.0,3 6
36,2,sigma_1p0__kernel_9__order_2,1.0,9,2,117,0.96295,0.09224122762680054,,0.00016717196558602154,0.9808081303070898,4,4,5,0.0,5 4 1 2 6
37,2,sigma_1p0__kernel_9__order_2,1.0,9,2,122,0.9613666666666667,0.384918212890625,,0.000572658609598875,0.9485629933767739,4,4,5,0.0,4 1 5 3 6
38,2,sigma_1p0__kernel_9__order_2,1.0,9,2,125,0.9604166666666667,0.2694889307022095,,0.0011164527386426926,0.9049577536714771,2,2,3,0.0,5 1 6
39,2,sigma_1p0__kernel_9__order_2,1.0,9,2,127,0.9597833333333333,0.2899160087108612,,0.00087834702571854,0.9093320190454706,1,1,2,0.0,5 6
40,2,sigma_1p0__kernel_9__order_2,1.0,9,2,131,0.9585166666666667,0.5763206481933594,0.02112593362107873,0.0003822278813458979,0.9659012573971618,3,3,4,0.0,5 4 2 6
41,2,sigma_1p0__kernel_9__order_2,1.0,9,2,136,0.9569333333333333,0.4124467372894287,0.012609081529080867,0.0001913050509756431,0.9818069145313767,4,4,5,0.0,1 5 4 2 6
42,2,sigma_1p0__kernel_9__order_2,1.0,9,2,138,0.9563,0.31274843215942383,0.008542492054402828,0.0004026911919936538,0.9607689173606432,1,1,2,0.0,2 6
43,2,sigma_1p0__kernel_9__order_2,1.0,9,2,140,0.9556666666666667,0.11830362677574158,0.008118775673210621,0.0019276916282251477,0.87441633387461,1,1,2,0.0,2 6
44,2,sigma_1p0__kernel_9__order_2,1.0,9,2,143,0.9547166666666667,0.1987278163433075,0.006337253066400687,0.0005743855144828558,0.931916461581991,2,2,3,0.0,5 2 6
45,2,sigma_1p0__kernel_9__order_2,1.0,9,2,144,0.9544,0.0,0.005637668073177338,0.0011536136735230684,0.9010127445552211,0,0,1,0.0,6
46,2,sigma_1p0__kernel_9__order_2,1.0,9,2,148,0.9531333333333334,-0.000494249165058136,0.005458405590616167,0.00035862799268215895,0.9615397241041862,3,3,4,0.0,5 1 2 6
47,2,sigma_1p0__kernel_9__order_2,1.0,9,2,153,0.95155,-0.055316559970378876,0.0040855507366359236,0.0002931992057710886,0.9673824072876385,4,4,5,0.0,4 3 2 1 6
48,2,sigma_1p0__kernel_9__order_2,1.0,9,2,158,0.9499666666666666,0.04628165066242218,0.002911213506013155,0.0005161211593076587,0.9568167765238339,4,4,5,0.0,5 3 1 2 6
49,2,sigma_1p0__kernel_9__order_2,1.0,9,2,160,0.9493333333333334,0.03889661654829979,0.002259840373881161,0.000529014621861279,0.9104463372658606,1,1,2,0.0,1 6
50,2,sigma_1p0__kernel_9__order_2,1.0,9,2,164,0.9480666666666666,0.4819064140319824,0.002065603621304035,0.0004541786329355091,0.9655303865777468,3,3,4,0.0,4 3 5 6
51,2,sigma_1p0__kernel_9__order_2,1.0,9,2,165,0.94775,0.0,0.0018915848340839148,0.0015476560220122337,0.8544009318940705,0,0,1,0.0,6
