method,n_solutions,n_pareto_global,n_pareto_by_method,hv_4d,hv_4d_method,hv_2d_quality_parsimony
Envelope-DQN,50,0,0,0.75038,monte_carlo,0.8507777340852894
greedy,30,0,0,0.74771,monte_carlo,0.8485575936402948
random,600,0,0,0.74855,monte_carlo,0.8500195341345923
top-k energy,30,0,0,0.72527,monte_carlo,0.8246908635491659
GLOBAL,710,0,0,0.75367,monte_carlo,0.8535172334744342
